repo_name,file_path,file_html,class_name,me_name,me_code,old_code,new_code,gd_truth_code,acc,baseline,ours,real
xarray,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/xarray/xarray/core/merge.py,https://github.com/pydata/xarray/tree/master/xarray/core/merge.py,,dataset_update_method$961,"def dataset_update_method(dataset: 'Dataset', other: 'CoercibleMapping') -> _MergeResult:
    """"""Guts of the Dataset.update method.

    This drops a duplicated coordinates from `other` if `other` is not an
    `xarray.Dataset`, e.g., if it's a dict with DataArray values (GH2068,
    GH2180).
    """"""
    from .dataarray import DataArray
    from .dataset import Dataset
    if not isinstance(other, Dataset):
        other = dict(other)
        for (key, value) in other.items():
            if isinstance(value, DataArray):
                coord_names = [c for c in value.coords if c not in value.dims and c in dataset.coords]
                if coord_names:
                    other[key] = value.drop_vars(coord_names)
    indexes = {}
    for (key, index) in dataset.xindexes.items():
        if isinstance(index, PandasIndex):
            indexes[key] = dataset.coords[key]
        else:
            indexes[key] = index
    return merge_core([dataset, other], priority_arg=1, indexes=indexes, combine_attrs='override')","for (key, value) in other.items():
    if isinstance(value, DataArray):
        coord_names = [c for c in value.coords if c not in value.dims and c in dataset.coords]
        if coord_names:
            other[key] = value.drop_vars(coord_names)","other = {key: value.drop_vars([c for c in value.coords if c not in value.dims and c in dataset.coords]) if isinstance(value, DataArray) else value for (key, value) in dict(other).items()}",find_wrong,1,1,3,1
mars,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/mars/mars/dataframe/plotting/core.py,https://github.com/mars-project/mars/tree/master/mars/dataframe/plotting/core.py,PlotAccessor,__call__$27,"def __call__(self, kind='line', session=None, **kwargs):
    to_executes = OrderedDict()
    to_executes['__object__'] = self._obj
    for (k, v) in kwargs.items():
        if isinstance(v, ENTITY_TYPE):
            to_executes[k] = v
    result = dict()
    executed = ExecutableTuple(to_executes.values()).execute().fetch()
    for (p, v) in zip(to_executes, executed):
        result[p] = v
    data = result.pop('__object__')
    pd_kwargs = kwargs.copy()
    pd_kwargs['kind'] = kind
    pd_kwargs.update(result)
    return data.plot(**pd_kwargs)","to_executes['__object__'] = self._obj
for (k, v) in kwargs.items():
    if isinstance(v, ENTITY_TYPE):
        to_executes[k] = v","to_executes = {'__object__': self._obj, **{k: v for (k, v) in kwargs.items() if isinstance(v, ENTITY_TYPE)}}",find_wrong,1,1,3,1
networkx,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/networkx/networkx/algorithms/bipartite/matching.py,https://github.com/networkx/networkx/tree/master/networkx/algorithms/bipartite/matching.py,,eppstein_matching$182,"def eppstein_matching(G, top_nodes=None):
    """"""Returns the maximum cardinality matching of the bipartite graph `G`.

    Parameters
    ----------
    G : NetworkX graph

      Undirected bipartite graph

    top_nodes : container

      Container with all nodes in one bipartite node set. If not supplied
      it will be computed. But if more than one solution exists an exception
      will be raised.

    Returns
    -------
    matches : dictionary

      The matching is returned as a dictionary, `matching`, such that
      ``matching[v] == w`` if node `v` is matched to node `w`. Unmatched
      nodes do not occur as a key in `matching`.

    Raises
    ------
    AmbiguousSolution
      Raised if the input bipartite graph is disconnected and no container
      with all nodes in one bipartite set is provided. When determining
      the nodes in each bipartite set more than one valid solution is
      possible if the input graph is disconnected.

    Notes
    -----
    This function is implemented with David Eppstein's version of the algorithm
    Hopcroft--Karp algorithm (see :func:`hopcroft_karp_matching`), which
    originally appeared in the `Python Algorithms and Data Structures library
    (PADS) <http://www.ics.uci.edu/~eppstein/PADS/ABOUT-PADS.txt>`_.

    See :mod:`bipartite documentation <networkx.algorithms.bipartite>`
    for further details on how bipartite graphs are handled in NetworkX.

    See Also
    --------

    hopcroft_karp_matching

    """"""
    (left, right) = bipartite_sets(G, top_nodes)
    G = nx.DiGraph(G.edges(left))
    matching = {}
    for u in G:
        for v in G[u]:
            if v not in matching:
                matching[v] = u
                break
    while True:
        preds = {}
        unmatched = []
        pred = {u: unmatched for u in G}
        for v in matching:
            del pred[matching[v]]
        layer = list(pred)
        while layer and (not unmatched):
            newLayer = {}
            for u in layer:
                for v in G[u]:
                    if v not in preds:
                        newLayer.setdefault(v, []).append(u)
            layer = []
            for v in newLayer:
                preds[v] = newLayer[v]
                if v in matching:
                    layer.append(matching[v])
                    pred[matching[v]] = v
                else:
                    unmatched.append(v)
        if not unmatched:
            unlayered = {}
            for u in G:
                for v in G[u]:
                    if v not in preds:
                        unlayered[v] = None
            for key in matching.copy():
                matching[matching[key]] = key
            return matching

        def recurse(v):
            if v in preds:
                L = preds.pop(v)
                for u in L:
                    if u in pred:
                        pu = pred.pop(u)
                        if pu is unmatched or recurse(pu):
                            matching[v] = u
                            return True
            return False
        for v in unmatched:
            recurse(v)","for u in G:
    for v in G[u]:
        if v not in matching:
            matching[v] = u
            break",matching = {v: u for u in G for v in G[u] if v not in matching},find_wrong,2,,,
unilm,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/unilm/unilm-v1/src/biunilm/loader_utils.py,https://github.com/microsoft/unilm/tree/master/unilm-v1/src/biunilm/loader_utils.py,Pipeline,get_masked_pos$146,"def get_masked_pos(self, tokens, n_pred, add_skipgram=False, mask_segment=None, protect_range=None):
    if self.pieces_dir is not None and self.trie is None:
        self.create_trie_tree(self.pieces_dir)
    if self.pre_whole_word:
        if self.trie is not None:
            pieces = self.trie.get_pieces(tokens, 0)
            new_pieces = []
            for piece in pieces:
                if len(new_pieces) > 0 and tokens[piece[0]].startswith('##'):
                    new_pieces[-1].extend(piece)
                else:
                    new_pieces.append(piece)
            del pieces
            pieces = new_pieces
            pre_word_split = list((_[-1] for _ in pieces))
            pre_word_split.append(len(tokens))
        else:
            pre_word_split = _get_word_split_index(tokens, 0, len(tokens))
        index2piece = None
    else:
        pre_word_split = list(range(0, len(tokens) + 1))
        if self.trie is not None:
            pieces = self.trie.get_pieces(tokens, 0)
            index2piece = {}
            for piece in pieces:
                for index in piece:
                    index2piece[index] = (piece[0], piece[-1])
        else:
            index2piece = None
    span_list = list(zip(pre_word_split[:-1], pre_word_split[1:]))
    cand_pos = []
    special_pos = set()
    if mask_segment:
        for (i, sp) in enumerate(span_list):
            (sp_st, sp_end) = sp
            if sp_end - sp_st == 1 and tokens[sp_st].endswith('SEP]'):
                segment_index = i
                break
    for (i, sp) in enumerate(span_list):
        (sp_st, sp_end) = sp
        if sp_end - sp_st == 1 and (tokens[sp_st].endswith('CLS]') or tokens[sp_st].endswith('SEP]')):
            special_pos.add(i)
        elif mask_segment:
            if i < segment_index and 'a' in mask_segment or (i > segment_index and 'b' in mask_segment):
                cand_pos.append(i)
        else:
            cand_pos.append(i)
    shuffle(cand_pos)
    masked_pos = set()
    for i_span in cand_pos:
        if len(masked_pos) >= n_pred:
            break
        (cand_st, cand_end) = span_list[i_span]
        if len(masked_pos) + cand_end - cand_st > n_pred:
            continue
        if any((p in masked_pos for p in range(cand_st, cand_end))):
            continue
        n_span = 1
        if index2piece is not None:
            (p_start, p_end) = index2piece[i_span]
            if p_start < p_end and rand() < self.sp_prob:
                (st_span, end_span) = (p_start, p_end + 1)
            else:
                (st_span, end_span) = (i_span, i_span + 1)
        else:
            rand_skipgram_size = 0
            if self.skipgram_size_geo_list:
                rand_skipgram_size = np.random.choice(len(self.skipgram_size_geo_list), 1, p=self.skipgram_size_geo_list)[0] + 1
            elif add_skipgram and self.skipgram_prb > 0 and (self.skipgram_size >= 2) and (rand() < self.skipgram_prb):
                rand_skipgram_size = min(randint(2, self.skipgram_size), len(span_list) - i_span)
            for n in range(2, rand_skipgram_size + 1):
                (tail_st, tail_end) = span_list[i_span + n - 1]
                if tail_end - tail_st == 1 and tail_st in special_pos:
                    break
                if len(masked_pos) + tail_end - cand_st > n_pred:
                    break
                n_span = n
            (st_span, end_span) = (i_span, i_span + n_span)
        if self.mask_whole_word:
            (st_span, end_span) = _expand_whole_word(tokens, st_span, end_span)
        if self.word_subsample_prb:
            skip_pos = set()
            if self.pre_whole_word:
                w_span_list = span_list[st_span:end_span]
            else:
                split_idx = _get_word_split_index(tokens, st_span, end_span)
                w_span_list = list(zip(split_idx[:-1], split_idx[1:]))
            for (i, sp) in enumerate(w_span_list):
                (sp_st, sp_end) = sp
                if sp_end - sp_st == 1:
                    w_cat = tokens[sp_st]
                else:
                    w_cat = ''.join(tokens[sp_st:sp_end])
                if w_cat in self.word_subsample_prb and rand() < self.word_subsample_prb[w_cat]:
                    for k in range(sp_st, sp_end):
                        skip_pos.add(k)
        else:
            skip_pos = None
        for sp in range(st_span, end_span):
            for mp in range(span_list[sp][0], span_list[sp][1]):
                if not (skip_pos and mp in skip_pos) and mp not in special_pos and (not (protect_range and protect_range[0] <= mp < protect_range[1])):
                    masked_pos.add(mp)
    if len(masked_pos) < n_pred:
        shuffle(cand_pos)
        for pos in cand_pos:
            if len(masked_pos) >= n_pred:
                break
            if pos not in masked_pos:
                masked_pos.add(pos)
    masked_pos = list(masked_pos)
    if len(masked_pos) > n_pred:
        masked_pos = masked_pos[:n_pred]
    return masked_pos","cand_pos = []
for (i, sp) in enumerate(span_list):
    (sp_st, sp_end) = sp
    if sp_end - sp_st == 1 and (tokens[sp_st].endswith('CLS]') or tokens[sp_st].endswith('SEP]')):
        special_pos.add(i)
    elif mask_segment:
        if i < segment_index and 'a' in mask_segment or (i > segment_index and 'b' in mask_segment):
            cand_pos.append(i)
    else:
        cand_pos.append(i)
masked_pos = set()
for i_span in cand_pos:
    if len(masked_pos) >= n_pred:
        break
    (cand_st, cand_end) = span_list[i_span]
    if len(masked_pos) + cand_end - cand_st > n_pred:
        continue
    if any((p in masked_pos for p in range(cand_st, cand_end))):
        continue
    n_span = 1
    if index2piece is not None:
        (p_start, p_end) = index2piece[i_span]
        if p_start < p_end and rand() < self.sp_prob:
            (st_span, end_span) = (p_start, p_end + 1)
        else:
            (st_span, end_span) = (i_span, i_span + 1)
    else:
        rand_skipgram_size = 0
        if self.skipgram_size_geo_list:
            rand_skipgram_size = np.random.choice(len(self.skipgram_size_geo_list), 1, p=self.skipgram_size_geo_list)[0] + 1
        elif add_skipgram and self.skipgram_prb > 0 and (self.skipgram_size >= 2) and (rand() < self.skipgram_prb):
            rand_skipgram_size = min(randint(2, self.skipgram_size), len(span_list) - i_span)
        for n in range(2, rand_skipgram_size + 1):
            (tail_st, tail_end) = span_list[i_span + n - 1]
            if tail_end - tail_st == 1 and tail_st in special_pos:
                break
            if len(masked_pos) + tail_end - cand_st > n_pred:
                break
            n_span = n
        (st_span, end_span) = (i_span, i_span + n_span)
    if self.mask_whole_word:
        (st_span, end_span) = _expand_whole_word(tokens, st_span, end_span)
    if self.word_subsample_prb:
        skip_pos = set()
        if self.pre_whole_word:
            w_span_list = span_list[st_span:end_span]
        else:
            split_idx = _get_word_split_index(tokens, st_span, end_span)
            w_span_list = list(zip(split_idx[:-1], split_idx[1:]))
        for (i, sp) in enumerate(w_span_list):
            (sp_st, sp_end) = sp
            if sp_end - sp_st == 1:
                w_cat = tokens[sp_st]
            else:
                w_cat = ''.join(tokens[sp_st:sp_end])
            if w_cat in self.word_subsample_prb and rand() < self.word_subsample_prb[w_cat]:
                for k in range(sp_st, sp_end):
                    skip_pos.add(k)
        else:
            skip_pos = None
    for sp in range(st_span, end_span):
        for mp in range(span_list[sp][0], span_list[sp][1]):
            if not (skip_pos and mp in skip_pos) and mp not in special_pos and (not (protect_range and protect_range[0] <= mp < protect_range[1])):
                masked_pos.add(mp)
masked_pos = list(masked_pos)
if len(masked_pos) > n_pred:
    masked_pos = masked_pos[:n_pred]","span_list = list(zip(pre_word_split[:-1], pre_word_split[1:]))
cand_pos = [i for (i, sp) in enumerate(span_list) if sp[1] - sp[0] != 1 or (not tokens[sp[0]].endswith('CLS]') and (not tokens[sp[0]].endswith('SEP]')))]
if mask_segment:
    segment_index = next((i for (i, sp) in enumerate(span_list) if sp[1] - sp[0] == 1 and tokens[sp[0]].endswith('SEP]')), None)
    cand_pos = [i for i in cand_pos if i < segment_index and 'a' in mask_segment or (i > segment_index and 'b' in mask_segment)]
masked_pos = set()
for i_span in cand_pos:
    if len(masked_pos) >= n_pred:
        break
    (cand_st, cand_end) = span_list[i_span]
    if len(masked_pos) + cand_end - cand_st > n_pred:
        continue
    if any((p in masked_pos for p in range(cand_st, cand_end))):
        continue
    n_span = 1
    if index2piece is not None:
        (p_start, p_end) = index2piece[i_span]
        if p_start < p_end and rand() < self.sp_prob:
            (st_span, end_span) = (p_start, p_end + 1)
        else:
            (st_span, end_span) = (i_span, i_span + 1)
    else:
        rand_skipgram_size = 0
        if self.skipgram_size_geo_list:
            rand_skipgram_size = np.random.choice(len(self.skipgram_size_geo_list), 1, p=self.skipgram_size_geo_list)[0] + 1
        elif add_skipgram and self.skipgram_prb > 0 and (self.skipgram_size >= 2) and (rand() < self.skipgram_prb):
            rand_skipgram_size = min(randint(2, self.skipgram_size), len(span_list) - i_span)
        for n in range(2, rand_skipgram_size + 1):
            (tail_st, tail_end) = span_list[i_span + n - 1]
            if tail_end - tail_st == 1 and tail_st in special_pos:
                break
            if len(masked_pos) + tail_end - cand_st > n_pred:
                break
            n_span = n
        (st_span, end_span) = (i_span, i_span + n_span)
    if self.mask_whole_word:
        (st_span, end_span) = _expand_whole_word(tokens, st_span, end_span)
    if self.word_subsample_prb:
        skip_pos = set()
        if self.pre_whole_word:
            w_span_list = span_list[st_span:end_span]
        else:
            split_idx = _get_word_split_index(tokens, st_span, end_span)
            w_span_list = list(zip(split_idx[:-1], split_idx[1:]))
        for (i, sp) in enumerate(w_span_list):
            (sp_st, sp_end) = sp
            if sp_end - sp_st == 1:
                w_cat = tokens[sp_st]
            else:
                w_cat = ''.join(tokens[sp_st:sp_end])
            if w_cat in self.word_subsample_prb and rand() < self.word_subsample_prb[w_cat]:
                for k in range(sp_st, sp_end):
                    skip_pos.add(k)
        else:
            skip_pos = None
    for sp in range(st_span, end_span):
        for mp in range(span_list[sp][0], span_list[sp][1]):
            if not (skip_pos and mp in skip_pos) and mp not in special_pos and (not (protect_range and protect_range[0] <= mp < protect_range[1])):
                masked_pos.add(mp)
masked_pos = list(masked_pos)
if len(masked_pos) > n_pred:
    masked_pos = masked_pos[:n_pred]",find_wrong,2,,,
deluge,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/deluge/deluge/plugins/Stats/deluge_stats/core.py,https://github.com/deluge-torrent/deluge/tree/master/deluge/plugins/Stats/deluge_stats/core.py,Core,update_stats$122,"def update_stats(self):
    stats = {}
    raw_stats = self.core.get_session_status(self.stat_keys)
    for (name, fn) in self.stat_getters.items():
        stats[name] = fn(raw_stats)
    update_time = time.time()
    self.last_update[1] = update_time
    for (stat, stat_list) in self.stats[1].items():
        if stat in stats:
            stat_list.insert(0, int(stats[stat]))
        else:
            stat_list.insert(0, 0)
        if len(stat_list) > self.length:
            stat_list.pop()

    def update_interval(interval, base, multiplier):
        self.count[interval] = self.count[interval] + 1
        if self.count[interval] >= interval:
            self.last_update[interval] = update_time
            self.count[interval] = 0
            current_stats = self.stats[interval]
            for (stat, stat_list) in self.stats[base].items():
                try:
                    avg = mean(stat_list[0:multiplier])
                except ValueError:
                    avg = 0
                current_stats[stat].insert(0, avg)
                if len(current_stats[stat]) > self.length:
                    current_stats[stat].pop()
    update_interval(5, 1, 5)
    update_interval(30, 5, 6)
    update_interval(300, 30, 10)","raw_stats = self.core.get_session_status(self.stat_keys)
for (name, fn) in self.stat_getters.items():
    stats[name] = fn(raw_stats)","stats = {name: fn(self.core.get_session_status(self.stat_keys)) for (name, fn) in self.stat_getters.items()}",find_wrong,-1,,,
readthedocs.org,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/readthedocs.org/readthedocs/projects/models.py,https://github.com/readthedocs/readthedocs.org/tree/master/readthedocs/projects/models.py,Project,get_downloads$776,"def get_downloads(self):
    downloads = {}
    default_version = self.get_default_version()
    for type_ in ('htmlzip', 'epub', 'pdf'):
        downloads[type_] = self.get_production_media_url(type_, default_version)
    return downloads","default_version = self.get_default_version()
for type_ in ('htmlzip', 'epub', 'pdf'):
    downloads[type_] = self.get_production_media_url(type_, default_version)","downloads = {type_: self.get_production_media_url(type_, default_version) for type_ in ('htmlzip', 'epub', 'pdf')}",find_wrong,-1,,,
swift,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/swift/swift/common/ring/composite_builder.py,https://github.com/openstack/swift/tree/master/swift/common/ring/composite_builder.py,,pre_validate_all_builders$109,"def pre_validate_all_builders(builders):
    """"""
    Pre-validation for all component ring builders that are to be included in
    the composite ring. Checks that all component rings are valid with respect
    to each other.

    :param builders: a list of :class:`swift.common.ring.builder.RingBuilder`
        instances
    :raises ValueError: if the builders are invalid with respect to each other
    """"""
    if len(builders) < 2:
        raise ValueError('Two or more component builders are required.')
    for attr in MUST_MATCH_ATTRS:
        attr_dict = defaultdict(list)
        for (i, builder) in enumerate(builders):
            value = getattr(builder, attr, None)
            attr_dict[value].append(i)
        if len(attr_dict) > 1:
            variations = ['%s=%s found at indexes %s' % (attr, val, indexes) for (val, indexes) in attr_dict.items()]
            raise ValueError('All builders must have same value for %r.\n%s' % (attr, '\n  '.join(variations)))
    errors = []
    for (index, builder) in enumerate(builders):
        if int(builder.replicas) != builder.replicas:
            errors.append('Non integer replica count %s found at index %s' % (builder.replicas, index))
        if builder.devs_changed:
            errors.append('Builder needs rebalance to apply changes at index %s' % index)
    if errors:
        raise ValueError('Problem with builders.\n%s' % '\n  '.join(errors))
    regions_info = {}
    for builder in builders:
        regions_info[builder] = set((dev['region'] for dev in builder._iter_devs()))
    for (first_region_set, second_region_set) in combinations(regions_info.values(), 2):
        inter = first_region_set & second_region_set
        if inter:
            raise ValueError('Same region found in different rings')
    check_for_dev_uniqueness(builders)","for (i, builder) in enumerate(builders):
    value = getattr(builder, attr, None)
    attr_dict[value].append(i)","attr_dict = {value: [i for (i, builder) in enumerate(builders) if getattr(builder, attr, None) == value] for value in set((getattr(builder, attr, None) for builder in builders))}",find_wrong,2,,,
CenterPoint,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/CenterPoint/det3d/utils/utils.py,https://github.com/tianweiy/CenterPoint/tree/master/det3d/utils/utils.py,,example_to_device$5,"def example_to_device(example, dtype=torch.float32, device=None, non_blocking=True) -> dict:
    device = device or torch.device('cuda:0')
    example_torch = {}
    float_names = ['voxels', 'bev_map']
    for (k, v) in example.items():
        if k in ['anchors', 'reg_targets', 'reg_weights', 'labels', 'anchors_mask']:
            res = []
            for (kk, vv) in v.items():
                vv = [vvv.unsqueeze_(0) for vvv in vv]
                res.append(torch.cat(vv, dim=0).cuda(device, non_blocking=non_blocking))
            example_torch[k] = res
        elif k in ['voxels', 'bev_map', 'coordinates', 'num_points', 'points', 'num_voxels']:
            example_torch[k] = v.cuda(device, non_blocking=non_blocking)
        elif k == 'calib':
            calib = {}
            for (k1, v1) in v.items():
                calib[k1] = v1.cuda(device, non_blocking=non_blocking)
            example_torch[k] = calib
        else:
            example_torch[k] = v
    return example_torch","float_names = ['voxels', 'bev_map']
for (k, v) in example.items():
    if k in ['anchors', 'reg_targets', 'reg_weights', 'labels', 'anchors_mask']:
        res = []
        for (kk, vv) in v.items():
            vv = [vvv.unsqueeze_(0) for vvv in vv]
            res.append(torch.cat(vv, dim=0).cuda(device, non_blocking=non_blocking))
        example_torch[k] = res
    elif k in ['voxels', 'bev_map', 'coordinates', 'num_points', 'points', 'num_voxels']:
        example_torch[k] = v.cuda(device, non_blocking=non_blocking)
    elif k == 'calib':
        calib = {}
        for (k1, v1) in v.items():
            calib[k1] = v1.cuda(device, non_blocking=non_blocking)
        example_torch[k] = calib
    else:
        example_torch[k] = v","example_torch = {k: [torch.cat([vvv.unsqueeze_(0) for vvv in vv], dim=0).cuda(device, non_blocking=non_blocking) for (kk, vv) in v.items()] if k in ['anchors', 'reg_targets', 'reg_weights', 'labels', 'anchors_mask'] else v.cuda(device, non_blocking=non_blocking) if k in ['voxels', 'bev_map', 'coordinates', 'num_points', 'points', 'num_voxels'] else {k1: v1.cuda(device, non_blocking=non_blocking) for (k1, v1) in v.items()} if k == 'calib' else v for (k, v) in example.items()}",find_wrong,1,,,
OpenSfM,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/OpenSfM/opensfm/stats.py,https://github.com/mapillary/OpenSfM/tree/master/opensfm/stats.py,,save_residual_grids$858,"def save_residual_grids(data: DataSetBase, tracks_manager: pymap.TracksManager, reconstructions: List[types.Reconstruction], output_path: str, io_handler: io.IoFilesystemBase) -> None:
    all_errors = {}
    scaling = 4
    for rec in reconstructions:
        for camera_id in rec.cameras:
            all_errors[camera_id] = []
    for i in range(len(reconstructions)):
        valid_observations = _get_valid_observations(reconstructions, tracks_manager)(i)
        errors_scaled = _compute_errors(reconstructions, tracks_manager)(i, pymap.ErrorType.Normalized)
        errors_unscaled = _compute_errors(reconstructions, tracks_manager)(i, pymap.ErrorType.Pixel)
        for (shot_id, shot_errors) in errors_scaled.items():
            shot = reconstructions[i].get_shot(shot_id)
            w = shot.camera.width
            h = shot.camera.height
            center = np.array([w / 2.0, h / 2.0])
            normalizer = max(shot.camera.width, shot.camera.height)
            (buckets_x, buckets_y) = _grid_buckets(shot.camera)
            w_bucket = buckets_x / w
            h_bucket = buckets_y / h
            shots_errors = []
            for (error_scaled, error_unscaled, observation) in zip(shot_errors.values(), errors_unscaled[shot_id].values(), valid_observations[shot_id].values()):
                if _norm2d(error_unscaled * normalizer) > RESIDUAL_PIXEL_CUTOFF:
                    continue
                bucket = observation.point * normalizer + center
                x = max([0, min([int(bucket[0] * w_bucket), buckets_x - 1])])
                y = max([0, min([int(bucket[1] * h_bucket), buckets_y - 1])])
                shots_errors.append((x, y, error_scaled))
            all_errors[shot.camera.id] += shots_errors
    for (camera_id, errors) in all_errors.items():
        if not errors:
            continue
        (buckets_x, buckets_y) = _grid_buckets(rec.cameras[camera_id])
        camera_array_res = np.zeros((buckets_y, buckets_x, 2))
        camera_array_count = np.full((buckets_y, buckets_x, 1), 1)
        for (x, y, e) in errors:
            camera_array_res[y, x] += e
            camera_array_count[y, x, 0] += 1
        camera_array_res = np.divide(camera_array_res, camera_array_count)
        camera = rec.get_camera(camera_id)
        (w, h) = (camera.width, camera.height)
        normalizer = max(w, h)
        clamp = 0.1
        res_colors = np.linalg.norm(camera_array_res[:, :, :2], axis=2)
        lowest = np.percentile(res_colors, 0)
        highest = np.percentile(res_colors, 100 * (1 - clamp))
        np.clip(res_colors, lowest, highest, res_colors)
        res_colors /= highest - lowest
        plt.clf()
        plt.figure(figsize=(12, 10))
        Q = plt.quiver(camera_array_res[:, :, 0] * scaling, camera_array_res[:, :, 1] * scaling, res_colors, units='xy', angles='xy', scale_units='xy', scale=1, width=0.1, cmap='viridis_r')
        scale = highest - lowest
        plt.quiverkey(Q, X=0.1, Y=1.04, U=scale * scaling, label=f'Residual grid scale : {scale:.2f}', labelpos='E')
        plt.title('                      ', fontsize='large')
        norm = colors.Normalize(vmin=lowest, vmax=highest)
        cmap = cm.get_cmap('viridis_r')
        sm = cm.ScalarMappable(norm=norm, cmap=cmap)
        sm.set_array([])
        plt.colorbar(mappable=sm, orientation='horizontal', label='Residual Norm', pad=0.08, aspect=40)
        plt.xticks([0, buckets_x / 2, buckets_x], [0, int(w / 2), w], fontsize='x-small')
        plt.yticks([0, buckets_y / 2, buckets_y], [0, int(h / 2), h], fontsize='x-small')
        with io_handler.open(os.path.join(output_path, 'residuals_' + str(camera_id.replace('/', '_')) + '.png'), 'wb') as fwb:
            plt.savefig(fwb, dpi=300, bbox_inches='tight')","scaling = 4
for rec in reconstructions:
    for camera_id in rec.cameras:
        all_errors[camera_id] = []","all_errors = {camera_id: [] for rec in reconstructions for camera_id in rec.cameras}

Note: There is no way to refactor the rest of the code with dictionary comprehension.",find_wrong,-1,,,
autokeras,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/autokeras/autokeras/analysers/input_analysers.py,https://github.com/keras-team/autokeras/tree/master/autokeras/analysers/input_analysers.py,StructuredDataAnalyser,infer_column_types$137,"def infer_column_types(self):
    column_types = {}
    for i in range(self.num_col):
        if self.count_categorical[i] > 0:
            column_types[self.column_names[i]] = CATEGORICAL
        elif len(self.count_unique_numerical[i]) / self.count_numerical[i] < 0.05:
            column_types[self.column_names[i]] = CATEGORICAL
        else:
            column_types[self.column_names[i]] = NUMERICAL
    if self.column_types is None:
        self.column_types = {}
    for (key, value) in column_types.items():
        if key not in self.column_types:
            self.column_types[key] = value","for i in range(self.num_col):
    if self.count_categorical[i] > 0:
        column_types[self.column_names[i]] = CATEGORICAL
    elif len(self.count_unique_numerical[i]) / self.count_numerical[i] < 0.05:
        column_types[self.column_names[i]] = CATEGORICAL
    else:
        column_types[self.column_names[i]] = NUMERICAL
if self.column_types is None:
    self.column_types = {}
for (key, value) in column_types.items():
    if key not in self.column_types:
        self.column_types[key] = value","column_types = {self.column_names[i]: CATEGORICAL if self.count_categorical[i] > 0 or len(self.count_unique_numerical[i]) / self.count_numerical[i] < 0.05 else NUMERICAL for i in range(self.num_col)}
if self.column_types is None:
    self.column_types = {}
self.column_types.update({key: value for (key, value) in column_types.items() if key not in self.column_types})",find_wrong,1,,,
