repo_name,file_path,file_html,class_name,me_name,me_code,old_code,new_code,gd_truth_code,acc
kivy,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/kivy/kivy/atlas.py,https://github.com/kivy/kivy/tree/master/kivy/atlas.py,Atlas,create$229,"def create(outname, filenames, size, padding=2, use_path=False):
    """"""This method can be used to create an atlas manually from a set of
        images.

        :Parameters:
            `outname`: str
                Basename to use for ``.atlas`` creation and ``-<idx>.png``
                associated images.
            `filenames`: list
                List of filenames to put in the atlas.
            `size`: int or list (width, height)
                Size of the atlas image. If the size is not large enough to
                fit all of the source images, more atlas images will created
                as required.
            `padding`: int, defaults to 2
                Padding to put around each image.

                Be careful. If you're using a padding < 2, you might have
                issues with the borders of the images. Because of the OpenGL
                linearization, it might use the pixels of the adjacent image.

                If you're using a padding >= 2, we'll automatically generate a
                ""border"" of 1px around your image. If you look at
                the result, don't be scared if the image inside is not
                exactly the same as yours :).

            `use_path`: bool, defaults to False
                If True, the relative path of the source png
                file names will be included in the atlas ids rather
                that just in the file names. Leading dots and slashes will be
                excluded and all other slashes in the path will be replaced
                with underscores. For example, if `use_path` is False
                (the default) and the file name is
                ``../data/tiles/green_grass.png``, the id will be
                ``green_grass``. If `use_path` is True, it will be
                ``data_tiles_green_grass``.

            .. versionchanged:: 1.8.0
                Parameter use_path added
        """"""
    try:
        from PIL import Image
    except ImportError:
        Logger.critical('Atlas: Imaging/PIL are missing')
        raise
    if isinstance(size, (tuple, list)):
        (size_w, size_h) = list(map(int, size))
    else:
        size_w = size_h = int(size)
    ims = list()
    for f in filenames:
        fp = open(f, 'rb')
        im = Image.open(fp)
        im.load()
        fp.close()
        ims.append((f, im))
    ims = sorted(ims, key=lambda im: im[1].size[0] * im[1].size[1], reverse=True)
    freeboxes = [(0, 0, 0, size_w, size_h)]
    numoutimages = 1
    fullboxes = []
    for imageinfo in ims:
        im = imageinfo[1]
        (imw, imh) = im.size
        imw += padding
        imh += padding
        if imw > size_w or imh > size_h:
            Logger.error('Atlas: image %s (%d by %d) is larger than the atlas size!' % (imageinfo[0], imw, imh))
            return
        inserted = False
        while not inserted:
            for (idx, fb) in enumerate(freeboxes):
                if fb[3] >= imw and fb[4] >= imh:
                    del freeboxes[idx]
                    if fb[3] > imw:
                        freeboxes.append((fb[0], fb[1] + imw, fb[2], fb[3] - imw, imh))
                    if fb[4] > imh:
                        freeboxes.append((fb[0], fb[1], fb[2] + imh, fb[3], fb[4] - imh))
                    freeboxes = sorted(freeboxes, key=lambda fb: fb[3] * fb[4])
                    fullboxes.append((im, fb[0], fb[1] + padding, fb[2] + padding, imw - padding, imh - padding, imageinfo[0]))
                    inserted = True
                    break
            if not inserted:
                freeboxes.append((numoutimages, 0, 0, size_w, size_h))
                numoutimages += 1
    Logger.info('Atlas: create an {0}x{1} rgba image'.format(size_w, size_h))
    outimages = [Image.new('RGBA', (size_w, size_h)) for i in range(0, int(numoutimages))]
    for fb in fullboxes:
        (x, y) = (fb[2], fb[3])
        out = outimages[fb[1]]
        out.paste(fb[0], (fb[2], fb[3]))
        (w, h) = fb[0].size
        if padding > 1:
            out.paste(fb[0].crop((0, 0, w, 1)), (x, y - 1))
            out.paste(fb[0].crop((0, h - 1, w, h)), (x, y + h))
            out.paste(fb[0].crop((0, 0, 1, h)), (x - 1, y))
            out.paste(fb[0].crop((w - 1, 0, w, h)), (x + w, y))
    for (idx, outimage) in enumerate(outimages):
        outimage.save('%s-%d.png' % (outname, idx))
    meta = {}
    for fb in fullboxes:
        fn = '%s-%d.png' % (basename(outname), fb[1])
        if fn not in meta:
            d = meta[fn] = {}
        else:
            d = meta[fn]
        if use_path:
            uid = splitext(fb[6])[0]
            uid = uid.lstrip('./\\')
            uid = uid.replace('/', '_').replace('\\', '_')
        else:
            uid = splitext(basename(fb[6]))[0]
        (x, y, w, h) = fb[2:6]
        d[uid] = (x, size_h - y - h, w, h)
    outfn = '%s.atlas' % outname
    with open(outfn, 'w') as fd:
        json.dump(meta, fd)
    return (outfn, meta)","for imageinfo in ims:
    im = imageinfo[1]
    (imw, imh) = im.size
    imw += padding
    imh += padding
    if imw > size_w or imh > size_h:
        Logger.error('Atlas: image %s (%d by %d) is larger than the atlas size!' % (imageinfo[0], imw, imh))
        return
    inserted = False
    while not inserted:
        for (idx, fb) in enumerate(freeboxes):
            if fb[3] >= imw and fb[4] >= imh:
                del freeboxes[idx]
                if fb[3] > imw:
                    freeboxes.append((fb[0], fb[1] + imw, fb[2], fb[3] - imw, imh))
                if fb[4] > imh:
                    freeboxes.append((fb[0], fb[1], fb[2] + imh, fb[3], fb[4] - imh))
                freeboxes = sorted(freeboxes, key=lambda fb: fb[3] * fb[4])
                fullboxes.append((im, fb[0], fb[1] + padding, fb[2] + padding, imw - padding, imh - padding, imageinfo[0]))
                inserted = True
                break
        if not inserted:
            freeboxes.append((numoutimages, 0, 0, size_w, size_h))
            numoutimages += 1","# do the actual atlasing by sticking the largest images we can
# have into the smallest valid free boxes
for imageinfo in ims:
    im = imageinfo[1]
    imw, imh = im.size
    imw += padding
    imh += padding
    if imw > size_w or imh > size_h:
        Logger.error(
            'Atlas: image %s (%d by %d) is larger than the atlas size!'
            % (imageinfo[0], imw, imh))
        return

    inserted = False
    while not inserted:
        for idx, fb in enumerate(freeboxes):
            # find the smallest free box that will contain this image
            if fb[3] >= imw and fb[4] >= imh:
                # we found a valid spot! Remove the current
                # freebox, and split the leftover space into (up to)
                # two new freeboxes","[""for imageinfo in ims:\n    (imageinfo_0, imageinfo_1, *_) = imageinfo\n    im = imageinfo_1\n    (imw, imh) = im.size\n    imw += padding\n    imh += padding\n    if imw > size_w or imh > size_h:\n        Logger.error('Atlas: image %s (%d by %d) is larger than the atlas size!' % (imageinfo_0, imw, imh))\n        return\n    inserted = False\n    while not inserted:\n        for (idx, fb) in enumerate(freeboxes):\n            if fb[3] >= imw and fb[4] >= imh:\n                del freeboxes[idx]\n                if fb[3] > imw:\n                    freeboxes.append((fb[0], fb[1] + imw, fb[2], fb[3] - imw, imh))\n                if fb[4] > imh:\n                    freeboxes.append((fb[0], fb[1], fb[2] + imh, fb[3], fb[4] - imh))\n                freeboxes = sorted(freeboxes, key=lambda fb: fb[3] * fb[4])\n                fullboxes.append((im, fb[0], fb[1] + padding, fb[2] + padding, imw - padding, imh - padding, imageinfo_0))\n                inserted = True\n                break\n        if not inserted:\n            freeboxes.append((numoutimages, 0, 0, size_w, size_h))\n            numoutimages += 1"", ""for (imageinfo_0, imageinfo_1, *imageinfo_len) in ims:\n    im = \n    imageinfo_1\n    (imw, imh) = im.size\n    imw += padding\n    imh += padding\n    if imw > size_w or imh > size_h:\n        Logger.error('Atlas: image %s (%d by %d) is larger than the atlas size!' % (\n        imageinfo_0, imw, imh))\n        return\n    inserted = False\n    while not inserted:\n        for (idx, fb) in enumerate(freeboxes):\n            if fb[3] >= imw and fb[4] >= imh:\n                del freeboxes[idx]\n                if fb[3] > imw:\n                    freeboxes.append((fb[0], fb[1] + imw, fb[2], fb[3] - imw, imh))\n                if fb[4] > imh:\n                    freeboxes.append((fb[0], fb[1], fb[2] + imh, fb[3], fb[4] - imh))\n                freeboxes = sorted(freeboxes, key=lambda fb: fb[3] * fb[4])\n                fullboxes.append((im, fb[0], fb[1] + padding, fb[2] + padding, imw - padding, imh - padding, \n                imageinfo_0))\n                inserted = True\n                break\n        if not inserted:\n            freeboxes.append((numoutimages, 0, 0, size_w, size_h))\n            numoutimages += 1""]",-1
galaxy,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/galaxy/lib/galaxy/webapps/galaxy/controllers/tag.py,https://github.com/ansible/galaxy/tree/master/lib/galaxy/webapps/galaxy/controllers/tag.py,TagsController,_get_tag_autocomplete_values$137,"def _get_tag_autocomplete_values(self, trans, q, limit, timestamp, user=None, item=None, item_class=None):
    """"""
        Returns autocomplete data for tag values ordered from most frequently used to
        least frequently used.
        """"""
    tag_name_and_value = q.split(':')
    tag_name = tag_name_and_value[0]
    tag_value = tag_name_and_value[1]
    tag = self.get_tag_handler(trans).get_tag_by_name(tag_name)
    if tag is None:
        return ''
    if item is None and item_class is None:
        raise RuntimeError('Both item and item_class cannot be None')
    elif item is not None:
        item_class = item.__class__
    item_tag_assoc_class = self.get_tag_handler(trans).get_tag_assoc_class(item_class)
    cols_to_select = [item_tag_assoc_class.table.c.value, func.count('*')]
    from_obj = item_tag_assoc_class.table.join(item_class.table).join(trans.app.model.Tag.table)
    where_clause = and_(item_tag_assoc_class.table.c.user_id == user.id, trans.app.model.Tag.table.c.id == tag.id, item_tag_assoc_class.table.c.value.like(f'{tag_value}%'))
    order_by = [func.count('*').desc(), item_tag_assoc_class.table.c.value]
    group_by = item_tag_assoc_class.table.c.value
    query = select(columns=cols_to_select, from_obj=from_obj, whereclause=where_clause, group_by=group_by, order_by=order_by, limit=limit)
    result_set = trans.sa_session.execute(query)
    ac_data = f""#Header|Your Values for '{tag_name}'\n""
    tag_uname = self._get_usernames_for_tag(trans, trans.user, tag, item_class, item_tag_assoc_class)[0]
    for row in result_set:
        ac_data += f'{tag_uname}:{row[0]}|{row[0]}\n'
    return ac_data","for row in result_set:
    ac_data += f'{tag_uname}:{row[0]}|{row[0]}\n'",ac_data += '\n'.join([f'{tag_uname}:{row[0]}|{row[0]}' for row in result_set]) + '\n',"[""for row in result_set:\n    (row_0, *row_rrowmaining) = row\n    ac_data += f'{tag_uname}:{row_0}|{row_0}\\n'"", ""for (row_0, *row_len) in result_set:\n    ac_data += f'{tag_uname}:{row_0}|{row_0}\\n'""]",-1
abseil-py,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/abseil-py/absl/testing/tests/parameterized_test.py,https://github.com/abseil/abseil-py/tree/master/absl/testing/tests/parameterized_test.py,,decorator$51,"def decorator(test_method):
    if isinstance(test_method, abc.Iterable):
        actual_tests = []
        for old_test in test_method.testcases:
            new_dict = old_test[1].copy()
            new_dict[key] = value
            test_suffix = '%s_%s_%s' % (old_test[0], key, value)
            actual_tests.append((test_suffix, new_dict))
        test_method.testcases = actual_tests
        return test_method
    else:
        test_suffix = '_%s_%s' % (key, value)
        tests_to_make = ((test_suffix, {key: value}),)
        return parameterized.named_parameters(*tests_to_make)(test_method)","for old_test in test_method.testcases:
    new_dict = old_test[1].copy()
    new_dict[key] = value
    test_suffix = '%s_%s_%s' % (old_test[0], key, value)
    actual_tests.append((test_suffix, new_dict))","actual_tests = []
for (old_test_suffix, old_test_dict) in test_method:
    new_dict = old_test_dict.copy()
    new_dict[key] = value
    test_suffix = f'{old_test_suffix}_{key}_{value}'
    actual_tests.append((test_suffix, new_dict))","[""for old_test in test_method.testcases:\n    (old_test_0, old_test_1, *_) = old_test\n    new_dict = old_test_1.copy()\n    new_dict[key] = value\n    test_suffix = '%s_%s_%s' % (old_test_0, key, value)\n    actual_tests.append((test_suffix, new_dict))"", ""for (old_test_0, old_test_1, *old_test_len) in test_method.testcases:\n    new_dict = \n    old_test_1.copy()\n    new_dict[key] = value\n    test_suffix = '%s_%s_%s' % (\n    old_test_0, key, value)\n    actual_tests.append((test_suffix, new_dict))""]",-1
folium,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/folium/folium/plugins/heat_map.py,https://github.com/python-visualization/folium/tree/master/folium/plugins/heat_map.py,HeatMap,_get_self_bounds$87,"def _get_self_bounds(self):
    """"""
        Computes the bounds of the object itself (not including it's children)
        in the form [[lat_min, lon_min], [lat_max, lon_max]].

        """"""
    bounds = [[None, None], [None, None]]
    for point in self.data:
        bounds = [[none_min(bounds[0][0], point[0]), none_min(bounds[0][1], point[1])], [none_max(bounds[1][0], point[0]), none_max(bounds[1][1], point[1])]]
    return bounds","for point in self.data:
    bounds = [[none_min(bounds[0][0], point[0]), none_min(bounds[0][1], point[1])], [none_max(bounds[1][0], point[0]), none_max(bounds[1][1], point[1])]]","bounds = [[None, None], [None, None]]
for point in self.data:
    bounds = [[point[0] if bounds[0][0] is None else min(bounds[0][0], point[0]), point[1] if bounds[0][1] is None else min(bounds[0][1], point[1])], [point[0] if bounds[1][0] is None else max(bounds[1][0], point[0]), point[1] if bounds[1][1] is None else max(bounds[1][1], point[1])]]","['for point in self.data:\n    (point_0, point_1, *_) = point\n    bounds = [[none_min(bounds[0][0], point_0), none_min(bounds[0][1], point_1)], [none_max(bounds[1][0], point_0), none_max(bounds[1][1], point_1)]]', 'for (point_0, point_1, *point_len) in self.data:\n    bounds = [[none_min(bounds[0][0], point_0), none_min(bounds[0][1], point_1)], [none_max(bounds[1][0], point_0), none_max(bounds[1][1], point_1)]]']",-1
plover,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/plover/plover/orthography.py,https://github.com/openstenoproject/plover/tree/master/plover/orthography.py,,make_candidates_from_rules$9,"def make_candidates_from_rules(word, suffix, check=lambda x: True):
    candidates = []
    for r in system.ORTHOGRAPHY_RULES:
        m = r[0].match(word + ' ^ ' + suffix)
        if m:
            expanded = m.expand(r[1])
            if check(expanded):
                candidates.append(expanded)
    return candidates","for r in system.ORTHOGRAPHY_RULES:
    m = r[0].match(word + ' ^ ' + suffix)
    if m:
        expanded = m.expand(r[1])
        if check(expanded):
            candidates.append(expanded)",candidates = [m.expand(r[1]) for r in system.ORTHOGRAPHY_RULES if (m := r[0].match(word + ' ^ ' + suffix)) and check(m.expand(r[1]))],"[""for r in system.ORTHOGRAPHY_RULES:\n    (r_0, r_1, *_) = r\n    m = r_0.match(word + ' ^ ' + suffix)\n    if m:\n        expanded = m.expand(r_1)\n        if check(expanded):\n            candidates.append(expanded)"", ""for (r_0, r_1, *r_len) in system.ORTHOGRAPHY_RULES:\n    m = \n    r_0.match(word + ' ^ ' + suffix)\n    if m:\n        expanded = m.expand(\n        r_1)\n        if check(expanded):\n            candidates.append(expanded)""]",-1
OpsManage,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/OpsManage/service/mysql/mysql_base.py,https://github.com/welliamcao/OpsManage/tree/master/service/mysql/mysql_base.py,MySQLBase,get_global_status$87,"def get_global_status(self):
    dataList = []
    logs = self.execute_for_query(sql='show global variables;')
    for ds in logs[1]:
        data = {}
        data['value'] = ds[1]
        data['name'] = ds[0].capitalize()
        dataList.append(data)
    return dataList","for ds in logs[1]:
    data = {}
    data['value'] = ds[1]
    data['name'] = ds[0].capitalize()
    dataList.append(data)","dataList = [{'value': ds[1], 'name': ds[0].capitalize()} for ds in logs[1]]","[""for ds in logs[1]:\n    (ds_0, ds_1, *_) = ds\n    data = {}\n    data['value'] = ds_1\n    data['name'] = ds_0.capitalize()\n    dataList.append(data)"", ""for (ds_0, ds_1, *ds_len) in logs[1]:\n    data = {}\n    data['value'] = \n    ds_1\n    data['name'] = \n    ds_0.capitalize()\n    dataList.append(data)""]",-1
whatportis,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/whatportis/tests/conftest.py,https://github.com/ncrocfer/whatportis/tree/master/tests/conftest.py,,create_ports$16,"def create_ports(tmpdir, monkeypatch):

    def _create_ports(ports):

        def get_db():
            tmp_db = tmpdir.join('db.json')
            db = TinyDB(str(tmp_db), storage=CachingMiddleware(JSONStorage))
            for port in ports:
                db.insert({'name': port[0], 'port': port[1], 'description': port[2], 'protocol': port[3]})
            return db
        return monkeypatch.setattr(whatportis.db, 'get_database', get_db)
    return _create_ports","for port in ports:
    db.insert({'name': port[0], 'port': port[1], 'description': port[2], 'protocol': port[3]})","db.insert([{'name': port[0], 'port': port[1], 'description': port[2], 'protocol': port[3]} for port in ports])","[""for port in ports:\n    (port_0, port_1, port_2, port_3, *_) = port\n    db.insert({'name': port_0, 'port': port_1, 'description': port_2, 'protocol': port_3})"", ""for (port_0, port_1, port_2, port_3, *port_len) in ports:\n    db.insert({'name': port_0, 'port': port_1, 'description': port_2, 'protocol': port_3})""]",-1
Paddle,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/Paddle/python/paddle/fluid/tests/unittests/test_imperative_se_resnext.py,https://github.com/PaddlePaddle/Paddle/tree/master/python/paddle/fluid/tests/unittests/test_imperative_se_resnext.py,TestImperativeResneXt,reader_decorator$326,"def reader_decorator(self, reader):

    def _reader_imple():
        for item in reader():
            doc = np.array(item[0]).reshape(3, 224, 224)
            label = np.array(item[1]).astype('int64').reshape(1)
            yield (doc, label)
    return _reader_imple","for item in reader():
    doc = np.array(item[0]).reshape(3, 224, 224)
    label = np.array(item[1]).astype('int64').reshape(1)
    yield (doc, label)","def reader_decorator(self, reader):

    def _reader_imple():
        for (item_0, item_1) in reader():
            doc = np.array(item_0).reshape(3, 224, 224)
            label = np.array(item_1).astype('int64').reshape(1)
            yield (doc, label)
    return _reader_imple","[""for item in reader():\n    (item_0, item_1, *_) = item\n    doc = np.array(item_0).reshape(3, 224, 224)\n    label = np.array(item_1).astype('int64').reshape(1)\n    yield (doc, label)"", ""for (item_0, item_1, *item_len) in reader():\n    doc = np.array(item_0).reshape(3, 224, 224)\n    label = np.array(item_1).astype('int64').reshape(1)\n    yield (doc, label)""]",-1
3DDFA_V2,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/3DDFA_V2/FaceBoxes/FaceBoxes.py,https://github.com/cleardusk/3DDFA_V2/tree/master/FaceBoxes/FaceBoxes.py,FaceBoxes,__call__$58,"def __call__(self, img_):
    img_raw = img_.copy()
    scale = 1
    if scale_flag:
        (h, w) = img_raw.shape[:2]
        if h > HEIGHT:
            scale = HEIGHT / h
        if w * scale > WIDTH:
            scale *= WIDTH / (w * scale)
        if scale == 1:
            img_raw_scale = img_raw
        else:
            h_s = int(scale * h)
            w_s = int(scale * w)
            img_raw_scale = cv2.resize(img_raw, dsize=(w_s, h_s))
        img = np.float32(img_raw_scale)
    else:
        img = np.float32(img_raw)
    _t = {'forward_pass': Timer(), 'misc': Timer()}
    (im_height, im_width, _) = img.shape
    scale_bbox = torch.Tensor([img.shape[1], img.shape[0], img.shape[1], img.shape[0]])
    img -= (104, 117, 123)
    img = img.transpose(2, 0, 1)
    img = torch.from_numpy(img).unsqueeze(0)
    _t['forward_pass'].tic()
    (loc, conf) = self.net(img)
    _t['forward_pass'].toc()
    _t['misc'].tic()
    priorbox = PriorBox(image_size=(im_height, im_width))
    priors = priorbox.forward()
    prior_data = priors.data
    boxes = decode(loc.data.squeeze(0), prior_data, cfg['variance'])
    if scale_flag:
        boxes = boxes * scale_bbox / scale / resize
    else:
        boxes = boxes * scale_bbox / resize
    boxes = boxes.cpu().numpy()
    scores = conf.squeeze(0).data.cpu().numpy()[:, 1]
    inds = np.where(scores > confidence_threshold)[0]
    boxes = boxes[inds]
    scores = scores[inds]
    order = scores.argsort()[::-1][:top_k]
    boxes = boxes[order]
    scores = scores[order]
    dets = np.hstack((boxes, scores[:, np.newaxis])).astype(np.float32, copy=False)
    keep = nms(dets, nms_threshold)
    dets = dets[keep, :]
    dets = dets[:keep_top_k, :]
    _t['misc'].toc()
    if self.timer_flag:
        print('Detection: {:d}/{:d} forward_pass_time: {:.4f}s misc: {:.4f}s'.format(1, 1, _t['forward_pass'].average_time, _t['misc'].average_time))
    det_bboxes = []
    for b in dets:
        if b[4] > vis_thres:
            (xmin, ymin, xmax, ymax, score) = (b[0], b[1], b[2], b[3], b[4])
            bbox = [xmin, ymin, xmax, ymax, score]
            det_bboxes.append(bbox)
    return det_bboxes","for b in dets:
    if b[4] > vis_thres:
        (xmin, ymin, xmax, ymax, score) = (b[0], b[1], b[2], b[3], b[4])
        bbox = [xmin, ymin, xmax, ymax, score]
        det_bboxes.append(bbox)","det_bboxes = [[b[0], b[1], b[2], b[3], b[4]] for b in dets if b[4] > vis_thres]","['for b in dets:\n    (b_0, b_1, b_2, b_3, b_4, *_) = b\n    if b_4 > vis_thres:\n        (xmin, ymin, xmax, ymax, score) = (b_0, b_1, b_2, b_3, b_4)\n        bbox = [xmin, ymin, xmax, ymax, score]\n        det_bboxes.append(bbox)', 'for (b_0, b_1, b_2, b_3, b_4, *b_len) in dets:\n    if \n    b_4 > vis_thres:\n        (xmin, ymin, xmax, ymax, score) = (\n        b_0, \n        b_1, \n        b_2, \n        b_3, \n        b_4)\n        bbox = [xmin, ymin, xmax, ymax, score]\n        det_bboxes.append(bbox)']",-1
frigate,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/frigate/frigate/video.py,https://github.com/blakeblackshear/frigate/tree/master/frigate/video.py,,detect$404,"def detect(object_detector, frame, model_shape, region, objects_to_track, object_filters):
    tensor_input = create_tensor_input(frame, model_shape, region)
    detections = []
    region_detections = object_detector.detect(tensor_input)
    for d in region_detections:
        box = d[2]
        size = region[2] - region[0]
        x_min = int(box[1] * size + region[0])
        y_min = int(box[0] * size + region[1])
        x_max = int(box[3] * size + region[0])
        y_max = int(box[2] * size + region[1])
        det = (d[0], d[1], (x_min, y_min, x_max, y_max), (x_max - x_min) * (y_max - y_min), region)
        if filtered(det, objects_to_track, object_filters):
            continue
        detections.append(det)
    return detections","for d in region_detections:
    box = d[2]
    size = region[2] - region[0]
    x_min = int(box[1] * size + region[0])
    y_min = int(box[0] * size + region[1])
    x_max = int(box[3] * size + region[0])
    y_max = int(box[2] * size + region[1])
    det = (d[0], d[1], (x_min, y_min, x_max, y_max), (x_max - x_min) * (y_max - y_min), region)
    if filtered(det, objects_to_track, object_filters):
        continue
    detections.append(det)","detections = [(d[0], d[1], (int(d[2][1] * (region[2] - region[0]) + region[0]), int(d[2][0] * (region[2] - region[0]) + region[1]), int(d[2][3] * (region[2] - region[0]) + region[0]), int(d[2][2] * (region[2] - region[0]) + region[1])), int((d[2][3] - d[2][1]) * (d[2][2] - d[2][0])), region) for d in region_detections if not filtered((d[0], d[1], (int(d[2][1] * (region[2] - region[0]) + region[0]), int(d[2][0] * (region[2] - region[0]) + region[1]), int(d[2][3] * (region[2] - region[0]) + region[0]), int(d[2][2] * (region[2] - region[0]) + region[1])), int((d[2][3] - d[2][1]) * (d[2][2] - d[2][0])), region), objects_to_track, object_filters)]","['for d in region_detections:\n    (d_0, d_1, d_2, *_) = d\n    box = d_2\n    size = region[2] - region[0]\n    x_min = int(box[1] * size + region[0])\n    y_min = int(box[0] * size + region[1])\n    x_max = int(box[3] * size + region[0])\n    y_max = int(box[2] * size + region[1])\n    det = (d_0, d_1, (x_min, y_min, x_max, y_max), (x_max - x_min) * (y_max - y_min), region)\n    if filtered(det, objects_to_track, object_filters):\n        continue\n    detections.append(det)', 'for (d_0, d_1, d_2, *d_len) in region_detections:\n    box = \n    d_2\n    size = region[2] - region[0]\n    x_min = int(box[1] * size + region[0])\n    y_min = int(box[0] * size + region[1])\n    x_max = int(box[3] * size + region[0])\n    y_max = int(box[2] * size + region[1])\n    det = (\n    d_0, \n    d_1, (x_min, y_min, x_max, y_max), (x_max - x_min) * (y_max - y_min), region)\n    if filtered(det, objects_to_track, object_filters):\n        continue\n    detections.append(det)']",-1
