repo_name,file_path,file_html,class_name,me_code,old_code,new_code,bool_code,chatGPT_code,if_correct,reversed_code,non_replace_var_refactored_code,refactored_code,acc,instruction,sys_msg,exam_msg,user_msg
hangoutsbot,https://github.com/hangoutsbot/hangoutsbot/tree/master/hangupsbot/plugins/lottery.py,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/hangoutsbot/hangupsbot/plugins/lottery.py,,"def perform_drawing(bot, event, *args):
    """"""draw handling:
        /me draw[s] [a[n]] number[s] => draws from ""number"", ""numbers"" or ""numberes""
        /me draw[s] [a[n]] sticks[s] => draws from ""stick"", ""sticks"" or ""stickses""
        /me draws[s]<unrecognised> => draws from ""default""

        note: to prepare lotteries/drawings, see /bot prepare ...

        XXX: check is for singular, plural ""-s"" and plural ""-es""
    """"""
    draw_lists = _load_lottery_state(bot)
    pattern = re.compile('.+ draws?( +(a +|an +|from +)?([a-z0-9\\-_]+))?$', re.IGNORECASE)
    if pattern.match(event.text):
        listname = 'default'
        matches = pattern.search(event.text)
        groups = matches.groups()
        if groups[2] is not None:
            listname = groups[2]
        if listname.endswith('s'):
            _plurality = (listname[:-1], listname, listname + 'es')
        else:
            _plurality = (listname, listname + 's', listname + 'es')
        global_draw_name = None
        _test_name = None
        for word in _plurality:
            _test_name = _get_global_lottery_name(bot, event.conv.id_, word)
            if _test_name in draw_lists:
                global_draw_name = _test_name
                logger.debug('{} is valid lottery'.format(global_draw_name))
                break
        if global_draw_name is not None:
            if len(draw_lists[global_draw_name]['box']) > 0:
                if event.user.id_.chat_id in draw_lists[global_draw_name]['users']:
                    yield from bot.coro_send_message(event.conv, _('<b>{}</b>, you have already drawn <b>{}</b> from the <b>{}</b> box').format(event.user.full_name, draw_lists[global_draw_name]['users'][event.user.id_.chat_id], word))
                else:
                    _thing = str(draw_lists[global_draw_name]['box'].pop())
                    text_drawn = _('<b>{}</b> draws <b>{}</b> from the <b>{}</b> box. ').format(event.user.full_name, _thing, word)
                    if len(draw_lists[global_draw_name]['box']) == 0:
                        text_drawn = text_drawn + _('...AAAAAND its all gone! The <b>{}</b> lottery is over folks.').format(word)
                    yield from bot.coro_send_message(event.conv, text_drawn)
                    draw_lists[global_draw_name]['users'][event.user.id_.chat_id] = _thing
            else:
                text_finished = _('<b>{}</b>, the <b>{}</b> lottery is over. ').format(event.user.full_name, word)
                if event.user.id_.chat_id in draw_lists[global_draw_name]['users']:
                    text_finished = _('You drew a {} previously.').format(draw_lists[global_draw_name]['users'][event.user.id_.chat_id])
                yield from bot.coro_send_message(event.conv, text_finished)
    _save_lottery_state(bot, draw_lists)","global_draw_name = None
_test_name = None",global_draw_name = _test_name = None,1,,,,,,,,,,
tfc,https://github.com/maqp/tfc/tree/master/tests/common/test_crypto.py,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/tfc/tests/common/test_crypto.py,TestArgon2KDF,"def test_argon2_cffi_using_the_official_command_line_utility(self) -> None:
    min_password_length = 1
    max_password_length = 127
    min_salt_length = 8
    min_parallelism = 1
    max_parallelism = multiprocessing.cpu_count()
    min_time_cost = 1
    min_memory_cost = 7
    min_key_length = 4
    max_salt_length = 128
    max_time_cost = 3
    max_memory_cost = 15
    max_key_length = 64
    sys_rand = random.SystemRandom()
    for _ in range(self.number_of_tests):
        len_password = sys_rand.randint(min_password_length, max_password_length)
        len_salt = sys_rand.randint(min_salt_length, max_salt_length)
        parallelism = sys_rand.randint(min_parallelism, max_parallelism)
        time_cost = sys_rand.randint(min_time_cost, max_time_cost)
        memory_cost = sys_rand.randint(min_memory_cost, max_memory_cost)
        key_length = sys_rand.randint(min_key_length, max_key_length)
        password = ''.join([sys_rand.choice(ascii_letters + digits) for _ in range(len_password)])
        salt = ''.join([sys_rand.choice(ascii_letters + digits) for _ in range(len_salt)])
        output = subprocess.check_output(f'echo -n ""{password}"" | ./argon2 {salt} -t {time_cost} -m {memory_cost} -p {parallelism} -l {key_length} -id', shell=True).decode()
        key_test_vector = output.split('\n')[4].split('\t')[-1]
        purported_key = argon2.low_level.hash_secret_raw(secret=password.encode(), salt=salt.encode(), time_cost=time_cost, memory_cost=2 ** memory_cost, parallelism=parallelism, hash_len=key_length, type=argon2.Type.ID).hex()
        self.assertEqual(purported_key, key_test_vector)","min_password_length = 1
min_parallelism = 1
min_time_cost = 1",min_password_length = min_parallelism = min_time_cost = 1,1,,,,,,,,,,
JBOPS,https://github.com/blacktwin/JBOPS/tree/master/fun/plexapi_haiku.py,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/JBOPS/fun/plexapi_haiku.py,,"def sylco(word):
    word = word.lower()
    exception_add = ['serious', 'crucial']
    exception_del = ['fortunately', 'unfortunately']
    co_one = ['cool', 'coach', 'coat', 'coal', 'count', 'coin', 'coarse', 'coup', 'coif', 'cook', 'coign', 'coiffe', 'coof', 'court']
    co_two = ['coapt', 'coed', 'coinci']
    pre_one = ['preach']
    syls = 0
    disc = 0
    if len(word) <= 3:
        syls = 1
        return syls
    if word[-2:] == 'es' or word[-2:] == 'ed':
        doubleAndtripple_1 = len(re.findall('[eaoui][eaoui]', word))
        if doubleAndtripple_1 > 1 or len(re.findall('[eaoui][^eaoui]', word)) > 1:
            if word[-3:] == 'ted' or word[-3:] == 'tes' or word[-3:] == 'ses' or (word[-3:] == 'ied') or (word[-3:] == 'ies'):
                pass
            else:
                disc += 1
    le_except = ['whole', 'mobile', 'pole', 'male', 'female', 'hale', 'pale', 'tale', 'sale', 'aisle', 'whale', 'while']
    if word[-1:] == 'e':
        if word[-2:] == 'le' and word not in le_except:
            pass
        else:
            disc += 1
    doubleAndtripple = len(re.findall('[eaoui][eaoui]', word))
    tripple = len(re.findall('[eaoui][eaoui][eaoui]', word))
    disc += doubleAndtripple + tripple
    numVowels = len(re.findall('[eaoui]', word))
    if word[:2] == 'mc':
        syls += 1
    if word[-1:] == 'y' and word[-2] not in 'aeoui':
        syls += 1
    for (i, j) in enumerate(word):
        if j == 'y':
            if i != 0 and i != len(word) - 1:
                if word[i - 1] not in 'aeoui' and word[i + 1] not in 'aeoui':
                    syls += 1
    if word[:3] == 'tri' and word[3] in 'aeoui':
        syls += 1
    if word[:2] == 'bi' and word[2] in 'aeoui':
        syls += 1
    if word[-3:] == 'ian':
        if word[-4:] == 'cian' or word[-4:] == 'tian':
            pass
        else:
            syls += 1
    if word[:2] == 'co' and word[2] in 'eaoui':
        if word[:4] in co_two or word[:5] in co_two or word[:6] in co_two:
            syls += 1
        elif word[:4] in co_one or word[:5] in co_one or word[:6] in co_one:
            pass
        else:
            syls += 1
    if word[:3] == 'pre' and word[3] in 'eaoui':
        if word[:6] in pre_one:
            pass
        else:
            syls += 1
    negative = [""doesn't"", ""isn't"", ""shouldn't"", ""couldn't"", ""wouldn't""]
    if word[-3:] == ""n't"":
        if word in negative:
            syls += 1
        else:
            pass
    if word in exception_del:
        disc += 1
    if word in exception_add:
        syls += 1
    return numVowels - disc + syls","syls = 0
disc = 0",syls = disc = 0,1,,,,,,,,,,
torba,https://github.com/lbryio/torba/tree/master/torba/orchstr8/node.py,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/torba/torba/orchstr8/node.py,BlockchainNode,"def __init__(self, url, daemon, cli):
    self.latest_release_url = url
    self.project_dir = os.path.dirname(os.path.dirname(__file__))
    self.bin_dir = os.path.join(self.project_dir, 'bin')
    self.daemon_bin = os.path.join(self.bin_dir, daemon)
    self.cli_bin = os.path.join(self.bin_dir, cli)
    self.log = log.getChild('blockchain')
    self.data_path = None
    self.protocol = None
    self.transport = None
    self._block_expected = 0
    self.hostname = 'localhost'
    self.peerport = 9246 + 2
    self.rpcport = 9245 + 2
    self.rpcuser = 'rpcuser'
    self.rpcpassword = 'rpcpassword'","self.data_path = None
self.protocol = None
self.transport = None",self.data_path = self.protocol = self.transport = None,1,,,,,,,,,,
myscan,https://github.com/amcai/myscan/tree/master/myscan/reverse/reverse_dns.py,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/myscan/myscan/reverse/reverse_dns.py,SinDNSAnswer,"def __init__(self, ip):
    self.type = 1
    self.classify = 1
    self.name = 49164
    self.datalength = 4
    self.timetolive = 190
    self.ip = ip","self.type = 1
self.classify = 1",self.type = self.classify = 1,1,,,,,,,,,,
nltk-trainer,https://github.com/japerk/nltk-trainer/tree/master/nltk_trainer/featx/phonetics.py,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/nltk-trainer/nltk_trainer/featx/phonetics.py,,"def metaphone(term):
    """"""returns metaphone code for a given string""""""
    code = ''
    i = 0
    term_length = len(term)
    if term_length == 0:
        return code
    term = string.lower(term)
    term = re.sub('[^a-z]', '', term)
    if len(term) == 0:
        return code
    firstChar = term[0]
    str2 = firstChar
    for x in term:
        if x != str2[-1]:
            str2 = str2 + x
    firstChar = str2[0]
    str3 = firstChar
    for x in str2[1:]:
        if re.search('[^aeiou]', x):
            str3 = str3 + x
    term = str3
    term_length = len(term)
    if term_length == 0:
        return code
    if term_length > 1:
        first_chars = term[0:2]
        table = {'ae': 'e', 'gn': 'n', 'kn': 'n', 'pn': 'n', 'wr': 'n', 'wh': 'w'}
        if first_chars in table.keys():
            term = term[2:]
            code = table[first_chars]
            term_length = len(term)
    elif term[0] == 'x':
        term = ''
        code = 's'
        term_length = 0
    st_trans = {'b': 'b', 'c': 'k', 'd': 't', 'g': 'k', 'h': 'h', 'k': 'k', 'p': 'p', 'q': 'k', 's': 's', 't': 't', 'v': 'f', 'w': 'w', 'x': 'ks', 'y': 'y', 'z': 's'}
    i = 0
    while i < term_length:
        add_char = ''
        part_n_2 = ''
        part_n_3 = ''
        part_n_4 = ''
        part_c_2 = ''
        part_c_3 = ''
        if i < term_length - 1:
            part_n_2 = term[i:i + 2]
            if i > 0:
                part_c_2 = term[i - 1:i + 1]
                part_c_3 = term[i - 1:i + 2]
        if i < term_length - 2:
            part_n_3 = term[i:i + 3]
        if i < term_length - 3:
            part_n_4 = term[i:i + 4]
        if term[i] == 'b':
            add_char = st_trans['b']
            if i == term_length - 1:
                if i > 0:
                    if term[i - 1] == 'm':
                        add_char = ''
        elif term[i] == 'c':
            add_char = st_trans['c']
            if part_n_2 == 'ch':
                add_char = 'x'
            elif re.search('c[iey]', part_n_2):
                add_char = 's'
            if part_n_3 == 'cia':
                add_char = 'x'
            if re.search('sc[iey]', part_c_3):
                add_char = ''
        elif term[i] == 'd':
            add_char = st_trans['d']
            if re.search('dg[eyi]', part_n_3):
                add_char = 'j'
        elif term[i] == 'g':
            add_char = st_trans['g']
            if part_n_2 == 'gh':
                if i == term_length - 2:
                    add_char = ''
            elif re.search('gh[aeiouy]', part_n_3):
                add_char = ''
            elif part_n_2 == 'gn':
                add_char = ''
            elif part_n_4 == 'gned':
                add_char = ''
            elif re.search('dg[eyi]', part_c_3):
                add_char = ''
            elif part_n_2 == 'gi':
                if part_c_3 != 'ggi':
                    add_char = 'j'
            elif part_n_2 == 'ge':
                if part_c_3 != 'gge':
                    add_char = 'j'
            elif part_n_2 == 'gy':
                if part_c_3 != 'ggy':
                    add_char = 'j'
            elif part_n_2 == 'gg':
                add_char = ''
        elif term[i] == 'h':
            add_char = st_trans['h']
            if re.search('[aeiouy]h[^aeiouy]', part_c_3):
                add_char = ''
            elif re.search('[csptg]h', part_c_2):
                add_char = ''
        elif term[i] == 'k':
            add_char = st_trans['k']
            if part_c_2 == 'ck':
                add_char = ''
        elif term[i] == 'p':
            add_char = st_trans['p']
            if part_n_2 == 'ph':
                add_char = 'f'
        elif term[i] == 'q':
            add_char = st_trans['q']
        elif term[i] == 's':
            add_char = st_trans['s']
            if part_n_2 == 'sh':
                add_char = 'x'
            if re.search('si[ao]', part_n_3):
                add_char = 'x'
        elif term[i] == 't':
            add_char = st_trans['t']
            if part_n_2 == 'th':
                add_char = '0'
            if re.search('ti[ao]', part_n_3):
                add_char = 'x'
        elif term[i] == 'v':
            add_char = st_trans['v']
        elif term[i] == 'w':
            add_char = st_trans['w']
            if re.search('w[^aeiouy]', part_n_2):
                add_char = ''
        elif term[i] == 'x':
            add_char = st_trans['x']
        elif term[i] == 'y':
            add_char = st_trans['y']
        elif term[i] == 'z':
            add_char = st_trans['z']
        else:
            add_char = term[i]
        code = code + add_char
        i += 1
    return code","add_char = ''
part_n_2 = ''
part_n_3 = ''
part_n_4 = ''
part_c_2 = ''
part_c_3 = ''",add_char = part_n_2 = part_n_3 = part_n_4 = part_c_2 = part_c_3 = '',1,,,,,,,,,,
gpodder,https://github.com/gpodder/gpodder/tree/master/src/gpodder/download.py,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/gpodder/src/gpodder/download.py,DownloadTask,"def __init__(self, episode, config, downloader=None):
    assert episode.download_task is None
    self.__lock = threading.RLock()
    self.__status = DownloadTask.NEW
    self.__activity = DownloadTask.ACTIVITY_DOWNLOAD
    self.__status_changed = True
    self.__episode = episode
    self._config = config
    self.__downloader = downloader
    self.filename = self.__episode.local_filename(create=True)
    self.tempname = self.filename + '.partial'
    self.total_size = self.__episode.file_size
    self.speed = 0.0
    self.progress = 0.0
    self.error_message = None
    self._notification_shown = False
    self.__start_time = 0
    self.__start_blocks = 0
    self.__limit_rate_value = self._config.limit_rate_value
    self.__limit_rate = self._config.limit_rate
    self._progress_updated = None
    self._last_progress_updated = 0.0
    if os.path.exists(self.tempname):
        try:
            already_downloaded = os.path.getsize(self.tempname)
            if self.total_size > 0:
                self.progress = max(0.0, min(1.0, already_downloaded / self.total_size))
        except OSError as os_error:
            logger.error('Cannot get size for %s', os_error)
    else:
        open(self.tempname, 'w').close()
    episode.download_task = self","self.speed = 0.0
self.progress = 0.0
self._notification_shown = False
self.__start_time = 0
self.__start_blocks = 0
self._last_progress_updated = 0.0","self.speed = self.progress = self._last_progress_updated = 0.0
self._notification_shown = False
self.__start_time = self.__start_blocks = 0",1,,,,,,,,,,
gpodder,https://github.com/gpodder/gpodder/tree/master/src/gpodder/download.py,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/gpodder/src/gpodder/download.py,DownloadTask,"def __init__(self, episode, config, downloader=None):
    assert episode.download_task is None
    self.__lock = threading.RLock()
    self.__status = DownloadTask.NEW
    self.__activity = DownloadTask.ACTIVITY_DOWNLOAD
    self.__status_changed = True
    self.__episode = episode
    self._config = config
    self.__downloader = downloader
    self.filename = self.__episode.local_filename(create=True)
    self.tempname = self.filename + '.partial'
    self.total_size = self.__episode.file_size
    self.speed = 0.0
    self.progress = 0.0
    self.error_message = None
    self._notification_shown = False
    self.__start_time = 0
    self.__start_blocks = 0
    self.__limit_rate_value = self._config.limit_rate_value
    self.__limit_rate = self._config.limit_rate
    self._progress_updated = None
    self._last_progress_updated = 0.0
    if os.path.exists(self.tempname):
        try:
            already_downloaded = os.path.getsize(self.tempname)
            if self.total_size > 0:
                self.progress = max(0.0, min(1.0, already_downloaded / self.total_size))
        except OSError as os_error:
            logger.error('Cannot get size for %s', os_error)
    else:
        open(self.tempname, 'w').close()
    episode.download_task = self","self.error_message = None
self._progress_updated = None",self.error_message = self._progress_updated = None,1,,,,,,,,,,
sunpy,https://github.com/sunpy/sunpy/tree/master/examples/time_series/timeseries_peak_finding.py,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/sunpy/examples/time_series/timeseries_peak_finding.py,,"def findpeaks(series, DELTA):
    """"""
    Finds extrema in a pandas series data.

    Parameters
    ----------
    series : `pandas.Series`
        The data series from which we need to find extrema.

    DELTA : `float`
        The minimum difference between data values that defines a peak.

    Returns
    -------
    minpeaks, maxpeaks : `list`
        Lists consisting of pos, val pairs for both local minima points and
        local maxima points.
    """"""
    (mn, mx) = (np.Inf, -np.Inf)
    minpeaks = []
    maxpeaks = []
    lookformax = True
    start = True
    for (time_pos, value) in series.iteritems():
        if value > mx:
            mx = value
            mxpos = time_pos
        if value < mn:
            mn = value
            mnpos = time_pos
        if lookformax:
            if value < mx - DELTA:
                maxpeaks.append((mxpos, mx))
                mn = value
                mnpos = time_pos
                lookformax = False
            elif start:
                minpeaks.append((mnpos, mn))
                mx = value
                mxpos = time_pos
                start = False
        elif value > mn + DELTA:
            minpeaks.append((mnpos, mn))
            mx = value
            mxpos = time_pos
            lookformax = True
    if value > mn + DELTA:
        maxpeaks.append((mxpos, mx))
    elif value < mx - DELTA:
        minpeaks.append((mnpos, mn))
    return (minpeaks, maxpeaks)","lookformax = True
start = True",lookformax = start = True,1,,,,,,,,,,
projects,https://github.com/explosion/projects/tree/master/tutorials/ner_fashion_brands/scripts/visualize_data.py,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/projects/tutorials/ner_fashion_brands/scripts/visualize_data.py,,"def load_data(filepath):
    examples = list(srsly.read_jsonl(filepath))
    rows = []
    n_total_ents = 0
    n_no_ents = 0
    labels = set()
    for eg in examples:
        row = {'text': eg['text'], 'ents': eg.get('spans', [])}
        n_total_ents += len(row['ents'])
        if not row['ents']:
            n_no_ents += 1
        labels.update([span['label'] for span in row['ents']])
        rows.append(row)
    return (rows, labels, n_total_ents, n_no_ents)","n_total_ents = 0
n_no_ents = 0",n_total_ents = n_no_ents = 0,1,,,,,,,,,,
