repo_name,file_path,file_html,class_name,me_name,me_code,old_code,chatGPT_code,element_str,slice_str,chatgpt_real_acc,ridiom_acc,real_acc,double sen,truth_code
InfoGAN,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/InfoGAN/infogan/models/regularized_gan.py,https://github.com/openai/InfoGAN/tree/master/infogan/models/regularized_gan.py,RegularizedGAN,cont_reg_dist_info$102,"def cont_reg_dist_info(self, reg_dist_info):
    ret = []
    for (dist_i, dist_info_i) in zip(self.reg_latent_dist.dists, self.reg_latent_dist.split_dist_info(reg_dist_info)):
        if isinstance(dist_i, Gaussian):
            ret.append(dist_info_i)
    return self.reg_cont_latent_dist.join_dist_infos(ret)","for (dist_i, dist_info_i) in zip(self.reg_latent_dist.dists, self.reg_latent_dist.split_dist_info(reg_dist_info)):
    if isinstance(dist_i, Gaussian):
        ret.append(dist_info_i)","ret = [dist_info_i for (dist_i, dist_info_i) in zip(self.reg_latent_dist.dists, self.reg_latent_dist.split_dist_info(reg_dist_info)) if isinstance(dist_i, Gaussian)]","ret = [dist_info_i for (dist_i, dist_info_i) in zip(self.reg_latent_dist.dists, self.reg_latent_dist.split_dist_info(reg_dist_info)) if isinstance(dist_i, Gaussian)]",1,,,,,robosuite
easytrader,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/easytrader/easytrader/utils/captcha.py,https://github.com/shidenggui/easytrader/tree/master/easytrader/utils/captcha.py,,captcha_recognize$9,"def captcha_recognize(img_path):
    import pytesseract
    im = Image.open(img_path).convert('L')
    threshold = 200
    table = []
    for i in range(256):
        if i < threshold:
            table.append(0)
        else:
            table.append(1)
    out = im.point(table, '1')
    num = pytesseract.image_to_string(out)
    return num","for i in range(256):
    if i < threshold:
        table.append(0)
    else:
        table.append(1)",table = [0 if i < threshold else 1 for i in range(256)],table = [0 if i < threshold else 1 for i in range(256)],1,,,,,robosuite
forseti-security,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/forseti-security/google/cloud/forseti/scanner/scanners/config_validator_util/cv_data_converter.py,https://github.com/forseti-security/forseti-security/tree/master/google/cloud/forseti/scanner/scanners/config_validator_util/cv_data_converter.py,,generate_ancestors$62,"def generate_ancestors(full_name):
    """"""Generate ancestor list from full_name.

    Args:
        full_name (str): Full name of the resource.

    Returns:
        list: List of ancestors.
    """"""
    ancestors = []
    full_name_items = full_name.split('/')
    for i in reversed(range(0, len(full_name_items) - 1)):
        if full_name_items[i] in SUPPORTED_ANCESTORS:
            ancestors.append(f'{full_name_items[i]}s/{full_name_items[i + 1]}')
    return ancestors","for i in reversed(range(0, len(full_name_items) - 1)):
    if full_name_items[i] in SUPPORTED_ANCESTORS:
        ancestors.append(f'{full_name_items[i]}s/{full_name_items[i + 1]}')","ancestors = [f'{full_name_items[i]}s/{full_name_items[i + 1]}' for i in reversed(range(0, len(full_name_items) - 1)) if full_name_items[i] in SUPPORTED_ANCESTORS]","ancestors = [f'{full_name_items[i]}s/{full_name_items[i + 1]}' for i in reversed(range(0, len(full_name_items) - 1)) if full_name_items[i] in SUPPORTED_ANCESTORS]",1,,,,,robosuite
MLAlgorithms,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/MLAlgorithms/mla/neuralnet/nnet.py,https://github.com/rushter/MLAlgorithms/tree/master/mla/neuralnet/nnet.py,NeuralNet,_predict$102,"def _predict(self, X=None):
    if not self._initialized:
        self._setup_layers(X.shape)
    y = []
    X_batch = batch_iterator(X, self.batch_size)
    for Xb in X_batch:
        y.append(self.fprop(Xb))
    return np.concatenate(y)","for Xb in X_batch:
    y.append(self.fprop(Xb))",y = [self.fprop(Xb) for Xb in X_batch],y = [self.fprop(Xb) for Xb in X_batch],1,,,,,robosuite
Paddle,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/Paddle/python/paddle/fluid/tests/unittests/npu/test_stack_op_npu.py,https://github.com/PaddlePaddle/Paddle/tree/master/python/paddle/fluid/tests/unittests/npu/test_stack_op_npu.py,TestStackOpBase,get_x_names$37,"def get_x_names(self):
    x_names = []
    for i in range(self.num_inputs):
        x_names.append('x{}'.format(i))
    return x_names","for i in range(self.num_inputs):
    x_names.append('x{}'.format(i))",x_names = ['x{}'.format(i) for i in range(self.num_inputs)],x_names = ['x{}'.format(i) for i in range(self.num_inputs)],1,,,,,robosuite
findatapy,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/findatapy/findatapy/market/ioengine.py,https://github.com/cuemacro/findatapy/tree/master/findatapy/market/ioengine.py,IOEngine,read_csv_data_frame$751,"def read_csv_data_frame(self, f_name, freq, cutoff=None, dateparse=None, postfix='.close', intraday_tz='UTC', excel_sheet=None):
    """"""Reads CSV/Excel from disk into DataFrame

        Parameters
        ----------
        f_name : str
            CSV/Excel file path to read
        freq : str
            Frequency of data to read (intraday/daily etc)
        cutoff : DateTime (optional)
            end date to read up to
        dateparse : str (optional)
            date parser to use
        postfix : str (optional)
            postfix to add to each columns
        intraday_tz : str (optional)
            timezone of file if uses intraday data
        excel_sheet : str (optional)
            Excel sheet to be read

        Returns
        -------
        DataFrame
        """"""
    if freq == 'intraday':
        if dateparse is None:
            dateparse = lambda x: datetime.datetime(*map(int, [x[6:10], x[3:5], x[0:2], x[11:13], x[14:16], x[17:19]]))
        elif dateparse == 'dukascopy':
            dateparse = lambda x: datetime.datetime(*map(int, [x[0:4], x[5:7], x[8:10], x[11:13], x[14:16], x[17:19]]))
        elif dateparse == 'c':
            import ciso8601
            dateparse = lambda x: ciso8601.parse_datetime(x)
        if excel_sheet is None:
            data_frame = pd.read_csv(f_name, index_col=0, parse_dates=True, date_parser=dateparse)
        else:
            data_frame = pd.read_excel(f_name, excel_sheet, index_col=0, na_values=['NA'])
        data_frame = data_frame.astype('float32')
        data_frame.index.names = ['Date']
        old_cols = data_frame.columns
        new_cols = []
        for col in old_cols:
            new_cols.append(col + postfix)
        data_frame.columns = new_cols
    elif 'events' in f_name:
        data_frame = pd.read_csv(f_name)
        data_frame = data_frame.convert_objects(convert_dates='coerce')
    elif excel_sheet is None:
        try:
            data_frame = pd.read_csv(f_name, index_col=0, parse_dates=['DATE'], date_parser=dateparse)
        except:
            data_frame = pd.read_csv(f_name, index_col=0, parse_dates=['Date'], date_parser=dateparse)
    else:
        data_frame = pd.read_excel(f_name, excel_sheet, index_col=0, na_values=['NA'])
    if freq == 'intraday':
        data_frame = data_frame.tz_localize(intraday_tz)
    if cutoff is not None:
        if isinstance(cutoff, str):
            cutoff = parse(cutoff)
        data_frame = data_frame.loc[data_frame.index < cutoff]
    return data_frame","for col in old_cols:
    new_cols.append(col + postfix)",new_cols = [col + postfix for col in old_cols],new_cols = [col + postfix for col in old_cols],1,,,,,robosuite
keras,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/keras/keras/engine/training_v1.py,https://github.com/keras-team/keras/tree/master/keras/engine/training_v1.py,Model,_process_target_tensor_for_compile$1407,"def _process_target_tensor_for_compile(self, target_tensors):
    if self.run_eagerly:
        return [None for _ in self.output_names]
    if target_tensors is not None and (not (isinstance(target_tensors, list) and target_tensors == [])):
        if isinstance(target_tensors, list):
            if len(target_tensors) != len(self.outputs):
                raise ValueError('When passing a list as `target_tensors`, it should have one entry per model output. The model has %s outputs, but you passed target_tensors=%s' % (len(self.outputs), target_tensors))
        elif isinstance(target_tensors, dict):
            unexpected_target_tensor_names = set(target_tensors.keys()).difference(self.output_names)
            if unexpected_target_tensor_names:
                raise ValueError('Unknown entry in `target_tensors` dictionary: ""{name}"". Only expected the following keys: {keys}'.format(name=unexpected_target_tensor_names, keys=str(self.output_names)))
            tmp_target_tensors = []
            for name in self.output_names:
                tmp_target_tensors.append(target_tensors.get(name, None))
            target_tensors = tmp_target_tensors
        elif tf.is_tensor(target_tensors):
            target_tensors = [target_tensors]
        else:
            raise TypeError('Expected `target_tensors` to be a list or tuple or dict or a single tensor, but got:', target_tensors)
    else:
        target_tensors = [None for _ in self.output_names]
    return target_tensors","for name in self.output_names:
    tmp_target_tensors.append(target_tensors.get(name, None))","tmp_target_tensors = [target_tensors.get(name, None) for name in self.output_names]","tmp_target_tensors = [target_tensors.get(name, None) for name in self.output_names]",1,,,,,robosuite
graph4nlp,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/graph4nlp/graph4nlp/pytorch/test/graph_embedding/run_gat.py,https://github.com/graph4ai/graph4nlp/tree/master/graph4nlp/pytorch/test/graph_embedding/run_gat.py,,grid_search_main$360,"def grid_search_main(config):
    print_config(config)
    grid_search_hyperparams = []
    for (k, v) in config.items():
        if isinstance(v, list):
            grid_search_hyperparams.append(k)
    logger = Logger(config['save_model_path'], config=config, overwrite=True)
    best_config = None
    best_score = -1
    configs = grid(config)
    for cnf in configs:
        print('\n')
        for k in grid_search_hyperparams:
            cnf['save_model_path'] += '_{}_{}'.format(k, cnf[k])
        print(cnf['save_model_path'])
        logger.write(cnf['save_model_path'])
        score = main(dict_to_namedtuple(cnf), cnf['random_seed'])
        if best_score < score:
            best_score = score
            best_config = cnf
            print('Found a better configuration: {}'.format(best_score))
            logger.write('Found a better configuration: {}'.format(best_score))
    print('\nBest configuration:')
    logger.write('\nBest configuration:')
    for k in grid_search_hyperparams:
        print('{}: {}'.format(k, best_config[k]))
        logger.write('{}: {}'.format(k, best_config[k]))
    print('Best test score: {}'.format(best_score))
    logger.write('Best test score: {}'.format(best_score))
    logger.close()","for (k, v) in config.items():
    if isinstance(v, list):
        grid_search_hyperparams.append(k)","grid_search_hyperparams = [k for (k, v) in config.items() if isinstance(v, list)]","grid_search_hyperparams = [k for (k, v) in config.items() if isinstance(v, list)]",1,,,,,robosuite
MB-Lab,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/MB-Lab/algorithms.py,https://github.com/animate1978/MB-Lab/tree/master//algorithms.py,,collect_existing_meshes$611,"def collect_existing_meshes():
    existing_mesh_names = []
    for mesh in bpy.data.meshes:
        existing_mesh_names.append(mesh.name)
    return existing_mesh_names","for mesh in bpy.data.meshes:
    existing_mesh_names.append(mesh.name)",existing_mesh_names = [mesh.name for mesh in bpy.data.meshes],existing_mesh_names = [mesh.name for mesh in bpy.data.meshes],1,,,,,robosuite
pool-reference,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/pool-reference/tests/test_difficulty.py,https://github.com/Chia-Network/pool-reference/tree/master/tests/test_difficulty.py,TestDifficulty,test_increases_diff$68,"def test_increases_diff(self):
    num_partials = 300
    time_target = 24 * 3600
    partials = []
    current_time = uint64(time.time())
    for i in range(num_partials):
        partials.append((uint64(current_time - i * 200), 20))
    assert get_new_difficulty(partials, num_partials, time_target, 20, current_time, 1) == 28","for i in range(num_partials):
    partials.append((uint64(current_time - i * 200), 20))","partials += [(uint64(current_time - i * 200), 20) for i in range(num_partials)]","partials = [(uint64(current_time - i * 200), 20) for i in range(num_partials)]",0,1,,,,robosuite
