repo_name,file_path,file_html,class_name,me_name,me_code,old_code,chatGPT_code,truth_code,acc
Plex-Meta-Manager,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/Plex-Meta-Manager/modules/sonarr.py,https://github.com/meisnate12/Plex-Meta-Manager/tree/master/modules/sonarr.py,Sonarr,remove_all_with_tags$234,"def remove_all_with_tags(self, tags):
        lower_tags = [_t.lower() for _t in tags]
        remove_items = []
        for series in self.api.all_series():
            tag_strs = [_t.label.lower() for _t in series.tags]
            remove = True
            for tag in lower_tags:
                if tag not in tag_strs:
                    remove = False
                    break
            if remove:
                remove_items.append(series)
        if remove_items:
            self.api.delete_multiple_series(remove_items)","for tag in lower_tags:
    if tag not in tag_strs:
        remove = False
        break
if remove:
    remove_items.append(series)","for tag in lower_tags:
    if tag not in tag_strs:
        break
else:
    remove_items.append(series)","for tag in lower_tags:
    if tag not in tag_strs:
        break
else:
    remove_items.append(series)",1
blueman,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/blueman/blueman/plugins/applet/NetUsage.py,https://github.com/blueman-project/blueman/tree/master/blueman/plugins/applet/NetUsage.py,Dialog,__init__$103,"def __init__(self, plugin: ""NetUsage""):
        if not Dialog.running:
            Dialog.running = True
        else:
            return
        self.plugin = plugin
        builder = Builder(""net-usage.ui"")

        self.dialog = builder.get_widget(""dialog"", Gtk.Dialog)
        self.dialog.connect(""response"", self.on_response)
        cr1 = Gtk.CellRendererText()
        cr1.props.ellipsize = Pango.EllipsizeMode.END

        self._handlerids: List[int] = []
        self._handlerids.append(plugin.connect(""monitor-added"", self.monitor_added))
        self._handlerids.append(plugin.connect(""monitor-removed"", self.monitor_removed))
        self._handlerids.append(plugin.connect(""stats"", self.on_stats))

        cr2 = Gtk.CellRendererText()
        cr2.props.sensitive = False
        cr2.props.style = Pango.Style.ITALIC

        self.liststore = Gtk.ListStore(str, str, str, object)

        self.e_ul = builder.get_widget(""e_ul"", Gtk.Entry)
        self.e_dl = builder.get_widget(""e_dl"", Gtk.Entry)
        self.e_total = builder.get_widget(""e_total"", Gtk.Entry)

        self.l_started = builder.get_widget(""l_started"", Gtk.Label)
        self.l_duration = builder.get_widget(""l_duration"", Gtk.Label)

        self.b_reset = builder.get_widget(""b_reset"", Gtk.Button)
        self.b_reset.connect(""clicked"", self.on_reset)

        self.cb_device = builder.get_widget(""cb_device"", Gtk.ComboBox)
        self.cb_device.props.model = self.liststore
        self.cb_device.connect(""changed"", self.on_selection_changed)

        self.cb_device.pack_start(cr1, True)
        self.cb_device.add_attribute(cr1, 'markup', 1)

        self.cb_device.pack_start(cr2, False)
        self.cb_device.add_attribute(cr2, 'markup', 2)

        general_config = Gio.Settings(schema_id=""org.blueman.general"")

        added = False
        for d in general_config[""netusage-dev-list""]:
            for m in plugin.monitors:
                if d == m.device[""Address""]:
                    titer = self.liststore.append(
                        [d, self.get_caption(m.device.display_name, m.device[""Address""]),
                         _(""Connected:"") + "" "" + m.interface, m])
                    if self.cb_device.get_active() == -1:
                        self.cb_device.set_active_iter(titer)
                    added = True
                    break
            if not added:
                name = d
                if self.plugin.parent.Manager:
                    device = self.plugin.parent.Manager.find_device(d)
                    if device is None:
                        pass
                    else:
                        name = self.get_caption(device.display_name, device[""Address""])

                self.liststore.append([d, name, _(""Not Connected""), None])
            added = False
        if len(self.liststore) > 0:
            if self.cb_device.get_active() == -1:
                self.cb_device.set_active(0)
        else:
            msg = _(""No usage statistics are available yet. Try establishing a connection first and ""
                    ""then check this page."")
            d = Gtk.MessageDialog(parent=self.dialog, modal=True, type=Gtk.MessageType.INFO,
                                  buttons=Gtk.ButtonsType.CLOSE, text=msg)
            d.props.icon_name = ""blueman""
            d.run()
            d.destroy()
            self.on_response(None, None)
            return

        self.dialog.show()","for m in plugin.monitors:
    if d == m.device['Address']:
        titer = self.liststore.append([d, self.get_caption(m.device.display_name, m.device['Address']), _('Connected:') + ' ' + m.interface, m])
        if self.cb_device.get_active() == -1:
            self.cb_device.set_active_iter(titer)
        added = True
        break
if not added:
    name = d
    if self.plugin.parent.Manager:
        device = self.plugin.parent.Manager.find_device(d)
        if device is None:
            pass
        else:
            name = self.get_caption(device.display_name, device['Address'])
    self.liststore.append([d, name, _('Not Connected'), None])","for m in plugin.monitors:
    if d == m.device['Address']:
        titer = self.liststore.append([d, self.get_caption(m.device.display_name, m.device['Address']), _('Connected:') + ' ' + m.interface, m])
        if self.cb_device.get_active() == -1:
            self.cb_device.set_active_iter(titer)
        break
else:
    name = d
    if self.plugin.parent.Manager:
        device = self.plugin.parent.Manager.find_device(d)
        if device is None:
            pass
        else:
            name = self.get_caption(device.display_name, device['Address'])
    self.liststore.append([d, name, _('Not Connected'), None])","for m in plugin.monitors:
    if d == m.device['Address']:
        titer = self.liststore.append([d, self.get_caption(m.device.display_name, m.device['Address']), _('Connected:') + ' ' + m.interface, m])
        if self.cb_device.get_active() == -1:
            self.cb_device.set_active_iter(titer)
        added = True
        break
else:
    name = d
    if self.plugin.parent.Manager:
        device = self.plugin.parent.Manager.find_device(d)
        if device is None:
            pass
        else:
            name = self.get_caption(device.display_name, device['Address'])
    self.liststore.append([d, name, _('Not Connected'), None])",0
udocker,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/udocker/tests/unit/test_fileutil.py,https://github.com/indigo-dc/udocker/tree/master/tests/unit/test_fileutil.py,,find_str$19,"def find_str(self, find_exp, where):
    """"""Find string in test output messages.""""""
    found = False
    for item in where:
        if find_exp in str(item):
            self.assertTrue(True)
            found = True
            break
    if not found:
        self.assertTrue(False)","for item in where:
    if find_exp in str(item):
        self.assertTrue(True)
        found = True
        break
if not found:
    self.assertTrue(False)","for item in where:
    if find_exp in str(item):
        self.assertTrue(True)
        found = True
        break
else:
    self.assertTrue(False)","for item in where:
    if find_exp in str(item):
        self.assertTrue(True)
        break
else:
    self.assertTrue(False)",0
MB-Lab,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/MB-Lab/humanoid.py,https://github.com/animate1978/MB-Lab/tree/master//humanoid.py,HumanCategory,get_modifier_tiny_name$142,"def get_modifier_tiny_name(self, sub_categories=[], exclude_in_others=[]):
        # Return the short name minus the beginning
        # of its name corresponding to sub_category
        # The key is subcategory name.
        # The value is [tiny, short, full]
        # Method used only for expressions editor for now
        # exclude_in_others means that the modifiers' name that are in this
        # list can't be put in ""other"" category
        if len(sub_categories) > 0:
            tiny = {'other': []}
            triple = []
            done = False
            false_others = False
            sub_categories = sorted(sub_categories, reverse = True)
            for modif in self.modifiers:
                for sub in sub_categories:
                    if not sub in tiny:
                        tiny[sub] = []
                    if modif.short_name.startswith(sub):
                        triple = [modif.short_name.lstrip(sub), modif.short_name, modif.name]
                        tiny[sub].append(triple)
                        done = True
                        break
                if done:
                    done = False
                else:
                    for fo in exclude_in_others:
                        if modif.short_name.startswith(fo) or modif.short_name.startswith(""ID""):
                            false_others = True
                    if false_others:
                        false_others = False
                    else:
                        tiny['other'].append([modif.short_name, modif.short_name, modif.name])
            return tiny
        return {}","for sub in sub_categories:
    if not sub in tiny:
        tiny[sub] = []
    if modif.short_name.startswith(sub):
        triple = [modif.short_name.lstrip(sub), modif.short_name, modif.name]
        tiny[sub].append(triple)
        done = True
        break
if done:
    done = False
else:
    for fo in exclude_in_others:
        if modif.short_name.startswith(fo) or modif.short_name.startswith('ID'):
            false_others = True
    if false_others:
        false_others = False
    else:
        tiny['other'].append([modif.short_name, modif.short_name, modif.name])","for sub in sub_categories:
    if not sub in tiny:
        tiny[sub] = []
    if modif.short_name.startswith(sub):
        triple = [modif.short_name.lstrip(sub), modif.short_name, modif.name]
        tiny[sub].append(triple)
        break
else:
    for fo in exclude_in_others:
        if modif.short_name.startswith(fo) or modif.short_name.startswith('ID'):
            false_others = True
    if false_others:
        false_others = False
    else:
        tiny['other'].append([modif.short_name, modif.short_name, modif.name])","for sub in sub_categories:
    if not sub in tiny:
        tiny[sub] = []
    if modif.short_name.startswith(sub):
        triple = [modif.short_name.lstrip(sub), modif.short_name, modif.name]
        tiny[sub].append(triple)
        done = True
        done = False
        break
else:
    for fo in exclude_in_others:
        if modif.short_name.startswith(fo) or modif.short_name.startswith('ID'):
            false_others = True
    if false_others:
        false_others = False
    else:
        tiny['other'].append([modif.short_name, modif.short_name, modif.name])",0
UNetPlusPlus,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/UNetPlusPlus/pytorch/nnunet/training/network_training/network_trainer.py,https://github.com/MrGiovanni/UNetPlusPlus/tree/master/pytorch/nnunet/training/network_training/network_trainer.py,NetworkTrainer,load_pretrained_weights$316,"def load_pretrained_weights(self,fname):                                    
        saved_model = torch.load(fname)                                         
        pretrained_dict = saved_model['state_dict']                             
        model_dict = self.network.state_dict()                                  
        fine_tune = True
        for key, _ in model_dict.items():
           if ('conv_blocks' in key):
               if (key in pretrained_dict) and (model_dict[key].shape == pretrained_dict[key].shape):
                   continue
               else:
                   fine_tune = False
                   break
        # filter unnecessary keys
        if fine_tune:
            pretrained_dict = {k: v for k, v in pretrained_dict.items() if
                           (k in model_dict) and (model_dict[k].shape == pretrained_dict[k].shape)}
            # 2. overwrite entries in the existing state dict                       
            model_dict.update(pretrained_dict)
            # print(model_dict)                                                     
            print(""############################################### Loading pre-trained Models Genesis from "",fname)
            print(""Below is the list of overlapping blocks in pre-trained Models Genesis and nnUNet architecture:"")
            for key, _ in pretrained_dict.items():
                print(key)
            print(""############################################### Done"")
            for key, _ in model_dict.items():
                print(key)
            self.network.load_state_dict(model_dict)
        else:
            print('############################################### Training from scratch')","for (key, _) in model_dict.items():
    if 'conv_blocks' in key:
        if key in pretrained_dict and model_dict[key].shape == pretrained_dict[key].shape:
            continue
        else:
            fine_tune = False
            break
if fine_tune:
    pretrained_dict = {k: v for (k, v) in pretrained_dict.items() if k in model_dict and model_dict[k].shape == pretrained_dict[k].shape}
    model_dict.update(pretrained_dict)
    print('############################################### Loading pre-trained Models Genesis from ', fname)
    print('Below is the list of overlapping blocks in pre-trained Models Genesis and nnUNet architecture:')
    for (key, _) in pretrained_dict.items():
        print(key)
    print('############################################### Done')
    for (key, _) in model_dict.items():
        print(key)
    self.network.load_state_dict(model_dict)
else:
    print('############################################### Training from scratch')","for (key, _) in model_dict.items():
    if 'conv_blocks' in key and (not (key in pretrained_dict and model_dict[key].shape == pretrained_dict[key].shape)):
        fine_tune = False
        break
else:
    pretrained_dict = {k: v for (k, v) in pretrained_dict.items() if k in model_dict and model_dict[k].shape == pretrained_dict[k].shape}
    model_dict.update(pretrained_dict)
    print('############################################### Loading pre-trained Models Genesis from ', fname)
    print('Below is the list of overlapping blocks in pre-trained Models Genesis and nnUNet architecture:')
    for (key, _) in pretrained_dict.items():
        print(key)
    print('############################################### Done')
    for (key, _) in model_dict.items():
        print(key)
    self.network.load_state_dict(model_dict)
else:
    print('############################################### Training from scratch')","for (key, _) in model_dict.items():
    if 'conv_blocks' in key:
        if key in pretrained_dict and model_dict[key].shape == pretrained_dict[key].shape:
            print('############################################### Training from scratch')
            continue
        else:
            break
else:
    pretrained_dict = {k: v for (k, v) in pretrained_dict.items() if k in model_dict and model_dict[k].shape == pretrained_dict[k].shape}
    model_dict.update(pretrained_dict)
    print('############################################### Loading pre-trained Models Genesis from ', fname)
    print('Below is the list of overlapping blocks in pre-trained Models Genesis and nnUNet architecture:')
    for (key, _) in pretrained_dict.items():
        print(key)
    print('############################################### Done')
    for (key, _) in model_dict.items():
        print(key)
    self.network.load_state_dict(model_dict)",0
Axelrod,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/Axelrod/axelrod/_strategy_utils.py,https://github.com/Axelrod-Python/Axelrod/tree/master/axelrod/_strategy_utils.py,,detect_cycle$13,"def detect_cycle(history, min_size=1, max_size=12, offset=0):
    """"""Detects cycles in the sequence history.

    Mainly used by hunter strategies.

    Parameters
    ----------
    history: sequence of C and D
        The sequence to look for cycles within
    min_size: int, 1
        The minimum length of the cycle
    max_size: int, 12
        The maximum length of the cycle
    offset: int, 0
        The amount of history to skip initially

    Returns
    -------
    Tuple of C and D
        The cycle detected in the input history
    """"""
    history_tail = history[offset:]
    new_max_size = min(len(history_tail) // 2, max_size)
    for i in range(min_size, new_max_size + 1):
        has_cycle = True
        cycle = tuple(history_tail[:i])
        for j, elem in enumerate(history_tail):
            if elem != cycle[j % len(cycle)]:
                has_cycle = False
                break
        if has_cycle:
            return cycle
    return None","for (j, elem) in enumerate(history_tail):
    if elem != cycle[j % len(cycle)]:
        has_cycle = False
        break
if has_cycle:
    return cycle","for (j, elem) in enumerate(history_tail):
    if elem != cycle[j % len(cycle)]:
        break
else:
    return cycle","for (j, elem) in enumerate(history_tail):
    if elem != cycle[j % len(cycle)]:
        break
else:
    return cycle",1
freeipa,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/freeipa/ipaserver/install/ipa_cacert_manage.py,https://github.com/freeipa/freeipa/tree/master/ipaserver/install/ipa_cacert_manage.py,CACertManage,_delete_by_nickname$483,"def _delete_by_nickname(self, nicknames, options):
        conn = api.Backend.ldap2

        ca_certs = certstore.get_ca_certs_nss(api.Backend.ldap2,
                                              api.env.basedn,
                                              api.env.realm,
                                              False)

        ipa_ca_nickname = get_ca_nickname(api.env.realm)

        for nickname in nicknames:
            found = False
            for _ca_cert, ca_nickname, _ca_trust_flags in ca_certs:
                if ca_nickname == nickname:
                    if ca_nickname == ipa_ca_nickname:
                        raise admintool.ScriptError(
                            'The IPA CA cannot be removed with this tool'
                        )
                    else:
                        found = True
                        break

            if not found:
                raise admintool.ScriptError(
                    'Unknown CA \'{}\''.format(nickname)
                )

        with certs.NSSDatabase() as tmpdb:
            tmpdb.create_db()
            for ca_cert, ca_nickname, ca_trust_flags in ca_certs:
                tmpdb.add_cert(ca_cert, ca_nickname, ca_trust_flags)
            loaded = tmpdb.list_certs()
            logger.debug(""loaded raw certs '%s'"", loaded)

            for nickname in nicknames:
                tmpdb.delete_cert(nickname)

            for ca_nickname, _trust_flags in loaded:
                if ca_nickname in nicknames:
                    continue
                if ipa_ca_nickname in nicknames:
                    raise admintool.ScriptError(
                        ""The IPA CA cannot be removed"")
                logger.debug(""Verifying %s"", ca_nickname)
                try:
                    tmpdb.verify_ca_cert_validity(ca_nickname)
                except ValueError as e:
                    msg = ""Verifying \'%s\' failed. Removing part of the "" \
                          ""chain? %s"" % (nickname, e)
                    if options.force:
                        print(msg)
                        continue
                    raise admintool.ScriptError(msg)
                else:
                    logger.debug(""Verified %s"", ca_nickname)

        for _ca_cert, ca_nickname, _ca_trust_flags in ca_certs:
            if ca_nickname in nicknames:
                container_dn = DN(('cn', 'certificates'), ('cn', 'ipa'),
                                  ('cn', 'etc'), api.env.basedn)
                dn = DN(('cn', nickname), container_dn)
                logger.debug(""Deleting %s"", ca_nickname)
                conn.delete_entry(dn)
                return","for (_ca_cert, ca_nickname, _ca_trust_flags) in ca_certs:
    if ca_nickname == nickname:
        if ca_nickname == ipa_ca_nickname:
            raise admintool.ScriptError('The IPA CA cannot be removed with this tool')
        else:
            found = True
            break
if not found:
    raise admintool.ScriptError(""Unknown CA '{}'"".format(nickname))","for (_ca_cert, ca_nickname, _ca_trust_flags) in ca_certs:
    if ca_nickname == nickname:
        if ca_nickname == ipa_ca_nickname:
            raise admintool.ScriptError('The IPA CA cannot be removed with this tool')
        found = True
        break
else:
    raise admintool.ScriptError(""Unknown CA '{}'"".format(nickname))","for (_ca_cert, ca_nickname, _ca_trust_flags) in ca_certs:
    if ca_nickname == nickname:
        if ca_nickname == ipa_ca_nickname:
            raise admintool.ScriptError('The IPA CA cannot be removed with this tool')
        else:
            break
else:
    raise admintool.ScriptError(""Unknown CA '{}'"".format(nickname))",0
dm_control,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/dm_control/dm_control/composer/initializers/prop_initializer.py,https://github.com/deepmind/dm_control/tree/master/dm_control/composer/initializers/prop_initializer.py,PropPlacer,__call__$159,"def __call__(self, physics, random_state, ignore_contacts_with_entities=None):
    """"""Sets initial prop poses.

    Args:
      physics: An `mjcf.Physics` instance.
      random_state: a `np.random.RandomState` instance.
      ignore_contacts_with_entities: a list of `composer.Entity` instances
        to ignore when detecting collisions. This can be used to ignore props
        that are not being placed by this initializer, but are known to be
        colliding in the current state of the simulation (for example if they
        are going to be placed by a different initializer that will be called
        subsequently).

    Raises:
      RuntimeError: If `ignore_collisions == False` and a non-colliding prop
        pose could not be found within `max_attempts_per_prop`.
    """"""
    if ignore_contacts_with_entities is None:
      ignore_contacts_with_entities = []
    # Temporarily disable contacts for all geoms that belong to props which
    # haven't yet been placed in order to free up space in the contact buffer.
    cached_contact_params = self._disable_and_cache_contact_parameters(
        physics, self._props + ignore_contacts_with_entities)

    try:
      physics.forward()
    except control.PhysicsError as cause:
      effect = control.PhysicsError(
          'Despite disabling contact for all props in this initializer, '
          '`physics.forward()` resulted in a `PhysicsError`')
      raise effect from cause

    def place_props():
      for prop in self._props:
        # Restore the original contact parameters for all geoms in the prop
        # we're about to place, so that we can detect if the new pose results in
        # collisions.
        self._restore_contact_parameters(physics, prop, cached_contact_params)

        success = False
        initial_position, initial_quaternion = prop.get_pose(physics)
        next_position, next_quaternion = initial_position, initial_quaternion
        for _ in range(self._max_attempts_per_prop):
          next_position = variation.evaluate(self._position,
                                             initial_value=initial_position,
                                             current_value=next_position,
                                             random_state=random_state)
          next_quaternion = variation.evaluate(self._quaternion,
                                               initial_value=initial_quaternion,
                                               current_value=next_quaternion,
                                               random_state=random_state)
          prop.set_pose(physics, next_position, next_quaternion)
          try:
            # If this pose results in collisions then there's a chance we'll
            # encounter a PhysicsError error here due to a full contact buffer,
            # in which case reject this pose and sample another.
            physics.forward()
          except control.PhysicsError:
            continue

          if (self._ignore_collisions
              or not self._has_collisions_with_prop(physics, prop)):
            success = True
            break

        if not success:
          raise RuntimeError(_REJECTION_SAMPLING_FAILED.format(
              model_name=prop.mjcf_model.model,
              max_attempts=self._max_attempts_per_prop))

      for prop in ignore_contacts_with_entities:
        self._restore_contact_parameters(physics, prop, cached_contact_params)

    # Place the props and settle the physics. If settling was requested and it
    # it fails, re-place the props.
    def place_and_settle():
      for _ in range(self._max_settle_physics_attempts):
        place_props()

        # Step physics and check prop states.
        original_time = physics.data.time
        props_isolator = utils.JointStaticIsolator(physics, self._prop_joints)
        prop_joints_mj = physics.bind(self._prop_joints)
        while physics.data.time - original_time < self._max_settle_physics_time:
          with props_isolator:
            physics.step()
          max_qvel = np.max(np.abs(prop_joints_mj.qvel))
          max_qacc = np.max(np.abs(prop_joints_mj.qacc))
          if (max_qvel < self._max_qvel_tol) and (
              max_qacc < self._max_qacc_tol) and (
                  physics.data.time - original_time
                  ) > self._min_settle_physics_time:
            return True
        physics.data.time = original_time

      if self._raise_exception_on_settle_failure:
        raise RuntimeError(
            _SETTLING_PHYSICS_FAILED.format(
                max_attempts=self._max_settle_physics_attempts,
                max_time=self._max_settle_physics_time,
                max_qvel=max_qvel,
                max_qacc=max_qacc,
            ))
      else:
        log_str = _SETTLING_PHYSICS_FAILED.format(
            max_attempts='%s',
            max_time='%s',
            max_qvel='%s',
            max_qacc='%s',
        )
        logging.warning(log_str, self._max_settle_physics_attempts,
                        self._max_settle_physics_time, max_qvel, max_qacc)

      return False

    if self._settle_physics:
      place_and_settle()
    else:
      place_props()","for _ in range(self._max_attempts_per_prop):
    next_position = variation.evaluate(self._position, initial_value=initial_position, current_value=next_position, random_state=random_state)
    next_quaternion = variation.evaluate(self._quaternion, initial_value=initial_quaternion, current_value=next_quaternion, random_state=random_state)
    prop.set_pose(physics, next_position, next_quaternion)
    try:
        physics.forward()
    except control.PhysicsError:
        continue
    if self._ignore_collisions or not self._has_collisions_with_prop(physics, prop):
        success = True
        break
if not success:
    raise RuntimeError(_REJECTION_SAMPLING_FAILED.format(model_name=prop.mjcf_model.model, max_attempts=self._max_attempts_per_prop))","for _ in range(self._max_attempts_per_prop):
    next_position = variation.evaluate(self._position, initial_value=initial_position, current_value=next_position, random_state=random_state)
    next_quaternion = variation.evaluate(self._quaternion, initial_value=initial_quaternion, current_value=next_quaternion, random_state=random_state)
    prop.set_pose(physics, next_position, next_quaternion)
    try:
        physics.forward()
    except control.PhysicsError:
        continue
    if self._ignore_collisions or not self._has_collisions_with_prop(physics, prop):
        break
else:
    raise RuntimeError(_REJECTION_SAMPLING_FAILED.format(model_name=prop.mjcf_model.model, max_attempts=self._max_attempts_per_prop))","for _ in range(self._max_attempts_per_prop):
    next_position = variation.evaluate(self._position, initial_value=initial_position, current_value=next_position, random_state=random_state)
    next_quaternion = variation.evaluate(self._quaternion, initial_value=initial_quaternion, current_value=next_quaternion, random_state=random_state)
    prop.set_pose(physics, next_position, next_quaternion)
    try:
        physics.forward()
    except control.PhysicsError:
        continue
    if self._ignore_collisions or not self._has_collisions_with_prop(physics, prop):
        break
else:
    raise RuntimeError(_REJECTION_SAMPLING_FAILED.format(model_name=prop.mjcf_model.model, max_attempts=self._max_attempts_per_prop))",1
samsungctl,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/samsungctl/samsungctl/__main__.py,https://github.com/Ape/samsungctl/tree/master/samsungctl/__main__.py,,_read_config$16,"def _read_config():
    config = collections.defaultdict(lambda: None, {
        ""name"": ""samsungctl"",
        ""description"": ""PC"",
        ""id"": """",
        ""method"": ""legacy"",
        ""timeout"": 0,
    })

    file_loaded = False
    directories = []

    xdg_config = os.getenv(""XDG_CONFIG_HOME"")
    if xdg_config:
        directories.append(xdg_config)

    directories.append(os.path.join(os.getenv(""HOME""), "".config""))
    directories.append(""/etc"")

    for directory in directories:
        path = os.path.join(directory, ""samsungctl.conf"")
        try:
            config_file = open(path)
        except IOError as e:
            if e.errno == errno.ENOENT:
                continue
            else:
                raise
        else:
            file_loaded = True
            break

    if not file_loaded:
        return config

    with config_file:
        try:
            config_json = json.load(config_file)
        except ValueError as e:
            message = ""Warning: Could not parse the configuration file.\n  %s""
            logging.warning(message, e)
            return config

        config.update(config_json)

    return config","for directory in directories:
    path = os.path.join(directory, 'samsungctl.conf')
    try:
        config_file = open(path)
    except IOError as e:
        if e.errno == errno.ENOENT:
            continue
        else:
            raise
    else:
        file_loaded = True
        break
if not file_loaded:
    return config","for directory in directories:
    path = os.path.join(directory, 'samsungctl.conf')
    try:
        config_file = open(path)
    except IOError as e:
        if e.errno == errno.ENOENT:
            continue
        else:
            raise
    else:
        break
else:
    return config","for directory in directories:
    path = os.path.join(directory, 'samsungctl.conf')
    try:
        config_file = open(path)
    except IOError as e:
        if e.errno == errno.ENOENT:
            continue
        else:
            raise
    else:
        break
else:
    return config",1
ansible-modules-core,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/ansible-modules-core/cloud/openstack/os_router.py,https://github.com/ansible/ansible-modules-core/tree/master/cloud/openstack/os_router.py,,_needs_update$182,"def _needs_update(cloud, module, router, network, internal_subnet_ids):
    """"""Decide if the given router needs an update.
    """"""
    if router['admin_state_up'] != module.params['admin_state_up']:
        return True
    if router['external_gateway_info']:
        if router['external_gateway_info'].get('enable_snat', True) != module.params['enable_snat']:
            return True
    if network:
        if not router['external_gateway_info']:
            return True
        elif router['external_gateway_info']['network_id'] != network['id']:
            return True

    # check external interfaces
    if module.params['external_fixed_ips']:
        for new_iface in module.params['external_fixed_ips']:
            subnet = cloud.get_subnet(new_iface['subnet'])
            exists = False

            # compare the requested interface with existing, looking for an existing match
            for existing_iface in router['external_gateway_info']['external_fixed_ips']:
                if existing_iface['subnet_id'] == subnet['id']:
                    if 'ip' in new_iface:
                        if existing_iface['ip_address'] == new_iface['ip']:
                            # both subnet id and ip address match
                            exists = True
                            break
                    else:
                        # only the subnet was given, so ip doesn't matter
                        exists = True
                        break

            # this interface isn't present on the existing router
            if not exists:
                return True

    # check internal interfaces
    if module.params['interfaces']:
        existing_subnet_ids = []
        for port in cloud.list_router_interfaces(router, 'internal'):
            if 'fixed_ips' in port:
                for fixed_ip in port['fixed_ips']:
                    existing_subnet_ids.append(fixed_ip['subnet_id'])

        if set(internal_subnet_ids) != set(existing_subnet_ids):
            return True

    return False","for existing_iface in router['external_gateway_info']['external_fixed_ips']:
    if existing_iface['subnet_id'] == subnet['id']:
        if 'ip' in new_iface:
            if existing_iface['ip_address'] == new_iface['ip']:
                exists = True
                break
        else:
            exists = True
            break
if not exists:
    return True","for existing_iface in router['external_gateway_info']['external_fixed_ips']:
    if existing_iface['subnet_id'] == subnet['id'] and ('ip' not in new_iface or existing_iface['ip_address'] == new_iface['ip']):
        exists = True
        break
else:
    return True","for existing_iface in router['external_gateway_info']['external_fixed_ips']:
    if existing_iface['subnet_id'] == subnet['id']:
        if 'ip' in new_iface:
            if existing_iface['ip_address'] == new_iface['ip']:
                break
        else:
            break
else:
    return True",0
