repo_name,file_path,file_html,class_name,me_name,me_code,old_code,chatGPT_code,element_str,slice_str,truth_code
gsutil,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/gsutil/gslib/wildcard_iterator.py,https://github.com/GoogleCloudPlatform/gsutil/tree/master/gslib/wildcard_iterator.py,CloudWildcardIterator,_GetToListFields$445,"def _GetToListFields(self, get_fields=None):
    """"""Prepends 'items/' to the input fields and converts it to a set.

    This way field sets requested for GetBucket can be used in ListBucket calls.
    Note that the input set must contain only bucket or object fields; listing
    fields such as prefixes or nextPageToken should be added after calling
    this function.

    Args:
      get_fields: Iterable fields usable in GetBucket/GetObject calls.

    Returns:
      Set of fields usable in ListBuckets/ListObjects calls.
    """"""
    if get_fields:
        list_fields = set()
        for field in get_fields:
            list_fields.add('items/' + field)
        return list_fields","for field in get_fields:
    list_fields.add('items/' + field)",list_fields = {'items/' + field for field in get_fields},"[""list_fields = {'items/' + field for field in get_fields}""]",1
django-simple-history,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/django-simple-history/simple_history/management/commands/clean_old_history.py,https://github.com/jazzband/django-simple-history/tree/master/simple_history/management/commands/clean_old_history.py,Command,handle$37,"def handle(self, *args, **options):
    self.verbosity = options['verbosity']
    to_process = set()
    model_strings = options.get('models', []) or args
    if model_strings:
        for model_pair in self._handle_model_list(*model_strings):
            to_process.add(model_pair)
    elif options['auto']:
        to_process = self._auto_models()
    else:
        self.log(self.COMMAND_HINT)
    self._process(to_process, days_back=options['days'], dry_run=options['dry'])","for model_pair in self._handle_model_list(*model_strings):
    to_process.add(model_pair)",to_process = {model_pair for model_pair in self._handle_model_list(*model_strings)},['to_process = {model_pair for model_pair in self._handle_model_list(*model_strings)}'],1
nvim-completion-manager,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/nvim-completion-manager/pythonx/cm_sources/cm_tmux.py,https://github.com/roxma/nvim-completion-manager/tree/master/pythonx/cm_sources/cm_tmux.py,Source,refresh_keyword$40,"def refresh_keyword(self):
    pat = re.compile(self._split_pattern)
    self._words = set()
    proc = subprocess.Popen(args=['tmux', 'list-window', '-F', '#{window_index}'], stdin=subprocess.PIPE, stdout=subprocess.PIPE, stderr=subprocess.PIPE)
    (outs, errs) = proc.communicate(timeout=15)
    window_indices = outs.decode('utf-8')
    logger.info('list-window: %s', window_indices)
    panes = []
    for win_index in window_indices.strip().split('\n'):
        proc = subprocess.Popen(args=['tmux', 'list-panes', '-t', win_index, '-F', '#{pane_index}'], stdin=subprocess.PIPE, stdout=subprocess.PIPE, stderr=subprocess.PIPE)
        (outs, errs) = proc.communicate(timeout=15)
        pane_ids = outs.decode('utf-8')
        for pane_id in pane_ids.strip().split('\n'):
            proc = subprocess.Popen(args=['tmux', 'capture-pane', '-p', '-t', '{}.{}'.format(win_index, pane_id)], stdin=subprocess.PIPE, stdout=subprocess.PIPE, stderr=subprocess.PIPE)
            (outs, errs) = proc.communicate(timeout=15)
            try:
                outs = outs.decode('utf-8')
                panes.append(outs)
            except Exception as ex:
                logger.exception('exception, failed to decode output, %s', ex)
                pass
    for pane in panes:
        for word in re.split(pat, pane):
            self._words.add(word)
    logger.info('keyword refresh complete, count: %s', len(self._words))","for pane in panes:
    for word in re.split(pat, pane):
        self._words.add(word)","words = {word for pane in panes for word in re.split(pat, pane)}","['self._words = {word for pane in panes for word in re.split(pat, pane)}']",0
imgaug,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/imgaug/test/augmenters/test_size.py,https://github.com/aleju/imgaug/tree/master/test/augmenters/test_size.py,TestResize,test_decrease_size_by_tuples_of_floats__one_per_side$1551,"def test_decrease_size_by_tuples_of_floats__one_per_side(self):
    image2d = self.image2d[0:4, 0:4]
    image3d = self.image3d[0:4, 0:4, :]
    aug = iaa.Resize({'height': (0.76, 1.0), 'width': (0.76, 1.0)})
    not_seen2d = set()
    not_seen3d = set()
    for hsize in sm.xrange(3, 4 + 1):
        for wsize in sm.xrange(3, 4 + 1):
            not_seen2d.add((hsize, wsize))
    for hsize in sm.xrange(3, 4 + 1):
        for wsize in sm.xrange(3, 4 + 1):
            not_seen3d.add((hsize, wsize, 3))
    possible2d = set(list(not_seen2d))
    possible3d = set(list(not_seen3d))
    for _ in sm.xrange(100):
        observed2d = aug.augment_image(image2d)
        observed3d = aug.augment_image(image3d)
        assert observed2d.shape in possible2d
        assert observed3d.shape in possible3d
        if observed2d.shape in not_seen2d:
            not_seen2d.remove(observed2d.shape)
        if observed3d.shape in not_seen3d:
            not_seen3d.remove(observed3d.shape)
        if not not_seen2d and (not not_seen3d):
            break
    assert not not_seen2d
    assert not not_seen3d","for hsize in sm.xrange(3, 4 + 1):
    for wsize in sm.xrange(3, 4 + 1):
        not_seen2d.add((hsize, wsize))","not_seen2d = {(hsize, wsize) for hsize in sm.xrange(3, 4 + 1) for wsize in sm.xrange(3, 4 + 1)}","['not_seen2d = {(hsize, wsize) for hsize in sm.xrange(3, 4 + 1) for wsize in sm.xrange(3, 4 + 1)}']",1
imgaug,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/imgaug/test/augmenters/test_size.py,https://github.com/aleju/imgaug/tree/master/test/augmenters/test_size.py,TestResize,test_decrease_size_by_tuples_of_floats__one_per_side$1551,"def test_decrease_size_by_tuples_of_floats__one_per_side(self):
    image2d = self.image2d[0:4, 0:4]
    image3d = self.image3d[0:4, 0:4, :]
    aug = iaa.Resize({'height': (0.76, 1.0), 'width': (0.76, 1.0)})
    not_seen2d = set()
    not_seen3d = set()
    for hsize in sm.xrange(3, 4 + 1):
        for wsize in sm.xrange(3, 4 + 1):
            not_seen2d.add((hsize, wsize))
    for hsize in sm.xrange(3, 4 + 1):
        for wsize in sm.xrange(3, 4 + 1):
            not_seen3d.add((hsize, wsize, 3))
    possible2d = set(list(not_seen2d))
    possible3d = set(list(not_seen3d))
    for _ in sm.xrange(100):
        observed2d = aug.augment_image(image2d)
        observed3d = aug.augment_image(image3d)
        assert observed2d.shape in possible2d
        assert observed3d.shape in possible3d
        if observed2d.shape in not_seen2d:
            not_seen2d.remove(observed2d.shape)
        if observed3d.shape in not_seen3d:
            not_seen3d.remove(observed3d.shape)
        if not not_seen2d and (not not_seen3d):
            break
    assert not not_seen2d
    assert not not_seen3d","for hsize in sm.xrange(3, 4 + 1):
    for wsize in sm.xrange(3, 4 + 1):
        not_seen3d.add((hsize, wsize, 3))","not_seen3d = {(hsize, wsize, 3) for hsize in sm.xrange(3, 4 + 1) for wsize in sm.xrange(3, 4 + 1)}","['not_seen3d = {(hsize, wsize, 3) for hsize in sm.xrange(3, 4 + 1) for wsize in sm.xrange(3, 4 + 1)}']",1
FARM,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/FARM/farm/file_utils.py,https://github.com/deepset-ai/FARM/tree/master/farm/file_utils.py,,read_set_from_file$301,"def read_set_from_file(filename):
    """"""
    Extract a de-duped collection (set) of text from a file.
    Expected file format is one item per line.
    """"""
    collection = set()
    with open(filename, 'r', encoding='utf-8') as file_:
        for line in file_:
            collection.add(line.rstrip())
    return collection","for line in file_:
    collection.add(line.rstrip())",collection = {line.rstrip() for line in file_},['collection = {line.rstrip() for line in file_}'],1
learn-to-cluster,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/learn-to-cluster/proposals/stat_cluster.py,https://github.com/yl-1993/learn-to-cluster/tree/master/proposals/stat_cluster.py,,inst2cls$34,"def inst2cls(inst_sets, idx2lb):
    cls_sets = []
    for inst_set in inst_sets:
        cls_set = set()
        for idx in inst_set:
            cls_set.add(idx2lb[idx])
        cls_sets.append(cls_set)
    return cls_sets","for inst_set in inst_sets:
    cls_set = set()
    for idx in inst_set:
        cls_set.add(idx2lb[idx])
    cls_sets.append(cls_set)",cls_sets = [{idx2lb[idx] for idx in inst_set} for inst_set in inst_sets],Cannot refactor,-1
django-extensions,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/django-extensions/tests/management/commands/shell_plus_tests/test_utils.py,https://github.com/django-extensions/django-extensions/tree/master/tests/management/commands/shell_plus_tests/test_utils.py,AutomaticShellPlusImportsTestCase,get_all_names_for_class$18,"def get_all_names_for_class(self, model_to_find_occurrences):
    """"""
        Returns all names under current class is imported.
        :param model_to_find_occurrences: class to find names
        :return: set of names under class is imported.
        """"""
    result = set()
    for (name, model_class) in self.imported_objects.items():
        if model_class == model_to_find_occurrences:
            result.add(name)
    return result","for (name, model_class) in self.imported_objects.items():
    if model_class == model_to_find_occurrences:
        result.add(name)","result = {name for (name, model_class) in self.imported_objects.items() if model_class == model_to_find_occurrences}","['result = {name for (name, model_class) in self.imported_objects.items() if model_class == model_to_find_occurrences}']",1
plop,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/plop/plop/viewer.py,https://github.com/bdarnell/plop/tree/master/plop/viewer.py,,profile_to_json$46,"def profile_to_json(filename):
    root = os.path.abspath(options.datadir) + os.path.sep
    abspath = os.path.abspath(os.path.join(root, filename))
    assert (abspath + os.path.sep).startswith(root)
    graph = CallGraph.load(abspath)
    total = sum((stack.weights['calls'] for stack in graph.stacks))
    top_stacks = graph.stacks
    filtered_nodes = set()
    for stack in top_stacks:
        filtered_nodes.update(stack.nodes)
    nodes = [dict(attrs=node.attrs, weights=node.weights, id=node.id) for node in filtered_nodes]
    nodes = sorted(nodes, key=lambda n: -n['weights']['calls'])
    index = dict([(node['id'], i) for (i, node) in enumerate(nodes)])
    degrees = Counter()
    dropped = set()
    for edge in six.itervalues(graph.edges):
        degrees[edge.child.id] += 1
        degrees[edge.parent.id] += 1
    for (node, degree) in six.iteritems(degrees):
        if degree > 6:
            dropped.add(node)
    edges = [dict(source=index[edge.parent.id], target=index[edge.child.id], weights=edge.weights) for edge in six.itervalues(graph.edges) if edge.parent.id in index and edge.child.id in index and (edge.parent.id not in dropped) and (edge.child.id not in dropped)]
    stacks = [dict(nodes=[index[n.id] for n in stack.nodes], weights=stack.weights) for stack in top_stacks]
    return dict(nodes=nodes, edges=edges, stacks=stacks)","for (node, degree) in six.iteritems(degrees):
    if degree > 6:
        dropped.add(node)","dropped = {node for (node, degree) in six.iteritems(degrees) if degree > 6}","['dropped = {node for (node, degree) in six.iteritems(degrees) if degree > 6}']",1
Paddle,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/Paddle/python/paddle/fluid/framework.py,https://github.com/PaddlePaddle/Paddle/tree/master/python/paddle/fluid/framework.py,IrGraph,draw$5141,"def draw(self, save_path, name, marked_nodes=None, remove_ctr_var=True):
    """"""
        Draw the graph. If `dot` command is installed, the drawn graph
        will be saved as pdf file type, otherwise dot file type is used.

        Args:
            save_path(str): the save path of drawn graph.
            name(str): the name of drawn graph.
            marked_nodes(set(IrNode)): nodes that are needed to be marked.
            Default value is None.
            remove_ctr_var(bool): If it is set True, all control variable nodes
            in the graph will be removed. Default value is True.
        """"""

    def _convert_to_pdf(dot_file_path):
        pdf_save_path = os.path.splitext(dot_file_path)[0] + '.pdf'
        exited_code = subprocess.call('dot -Tpdf ' + dot_file_path + ' -o ' + pdf_save_path, shell=True)
        if exited_code != 0:
            print('The dot command is needed for creating pdf files.')
            print('The {} is saved as the dot filetype.'.format(dot_file_path))
    remove_ctr_vars = set()
    if remove_ctr_var:
        for node in self.all_var_nodes():
            if node.is_ctrl_var():
                remove_ctr_vars.add(node)
        self.safe_remove_nodes(remove_ctr_vars)
    print('Total ops num = {}.'.format(len(self.all_op_nodes())))
    if marked_nodes is not None:
        if not isinstance(marked_nodes, set):
            if isinstance(marked_nodes, Iterable):
                marked_nodes = set(marked_nodes)
            else:
                marked_nodes = {marked_nodes}
        marked_nodes = {n.node for n in marked_nodes}
        remove_ctr_vars = {n.node for n in remove_ctr_vars}
        marked_nodes = marked_nodes - remove_ctr_vars
        if self.graph.has('__graphviz__marked_node__'):
            self.graph.erase('__graphviz__marked_node__')
        self.graph.set('__graphviz__marked_node__', marked_nodes)
    if not os.path.exists(save_path):
        os.makedirs(save_path)
    viz_dot_path = os.path.join(save_path, name) + '.dot'
    viz_pass = core.get_pass('graph_viz_pass')
    viz_pass.set('graph_viz_path', viz_dot_path)
    viz_pass.apply(self.graph)
    _convert_to_pdf(viz_dot_path)","for node in self.all_var_nodes():
    if node.is_ctrl_var():
        remove_ctr_vars.add(node)",remove_ctr_vars = {node for node in self.all_var_nodes() if node.is_ctrl_var()},['remove_ctr_vars = {node for node in self.all_var_nodes() if node.is_ctrl_var()}'],1
nltk,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/nltk/nltk/test/unit/translate/test_ibm_model.py,https://github.com/nltk/nltk/tree/master/nltk/test/unit/translate/test_ibm_model.py,TestIBMModel,test_neighboring_finds_neighbor_alignments$137,"def test_neighboring_finds_neighbor_alignments(self):
    a_info = AlignmentInfo((0, 3, 2), (None, 'des', 'œufs', 'verts'), ('UNUSED', 'green', 'eggs'), [[], [], [2], [1]])
    ibm_model = IBMModel([])
    neighbors = ibm_model.neighboring(a_info)
    neighbor_alignments = set()
    for neighbor in neighbors:
        neighbor_alignments.add(neighbor.alignment)
    expected_alignments = {(0, 0, 2), (0, 1, 2), (0, 2, 2), (0, 3, 0), (0, 3, 1), (0, 3, 3), (0, 2, 3), (0, 3, 2)}
    self.assertEqual(neighbor_alignments, expected_alignments)","for neighbor in neighbors:
    neighbor_alignments.add(neighbor.alignment)",neighbor_alignments = {neighbor.alignment for neighbor in neighbors},['neighbor_alignments = {neighbor.alignment for neighbor in neighbors}'],1
